marital status	age	sex	district	1976Q1	1977Q1	1978Q1	1979Q1	1980Q1	1981Q1	1982Q1	1983Q1	1984Q1
Never married	0-9 years	Men	Polling area - 3. Syd	372	326	326	331	356	351	361	348	336
Never married	0-9 years	Men	Polling area - 3. Øst	820	743	682	627	626	607	568	543	514
Never married	0-9 years	Men	Polling area - 4. Sundbyøster	517	472	434	404	424	412	401	392	380
Never married	0-9 years	Men	Polling area - 4. Nord	829	780	713	672	701	691	657	661	625
Never married	0-9 years	Men	Polling area - 4. Syd	472	467	419	410	373	376	363	373	369
Never married	0-9 years	Men	Polling area - 4. Øst	423	412	370	374	387	392	371	344	335
Never married	0-9 years	Men	Polling area - 5. Nørrebro	432	402	402	363	401	414	431	413	418
Never married	0-9 years	Men	Polling area - 5. Nord	554	516	485	465	463	461	423	428	391
Never married	0-9 years	Men	Polling area - 5. Nørrebrohallen	502	417	428	428	440	435	409	377	390
Never married	0-9 years	Men	Polling area - 5. Syd	480	434	400	382	375	344	364	400	406
Never married	0-9 years	Men	Polling area - 5. Øst	585	509	444	413	387	369	339	319	266
Never married	0-9 years	Men	Polling area - 5. Vest	593	543	475	472	450	467	484	476	461
Never married	0-9 years	Men	Polling area - 5. Nordvest	852	790	736	697	683	656	618	616	613
Never married	0-9 years	Men	Polling area - 6. Bispebjerg	388	346	338	323	296	288	303	291	276
Never married	0-9 years	Men	Polling area - 6. Vest	224	202	196	175	187	198	215	210	217
Never married	0-9 years	Men	Polling area - 6. Nord	388	371	363	358	367	359	354	349	359
Never married	0-9 years	Men	Polling area - 6. Øst	112	110	101	104	114	119	109	140	146
Never married	0-9 years	Men	Polling area - 6. Syd	471	428	371	419	400	390	376	358	368
Never married	0-9 years	Men	Polling area - 7. Brønshøj	289	272	261	242	247	258	257	258	267
Never married	0-9 years	Men	Polling area - 7. Nord	697	639	578	540	503	465	437	423	422
Never married	0-9 years	Men	Polling area - 7. Syd	324	320	297	273	269	280	275	266	273
Never married	0-9 years	Men	Polling area - 7. Øst	467	453	437	426	401	389	385	382	397
Never married	0-9 years	Men	Polling area - 7. Vest	299	276	287	287	285	285	284	275	289
Never married	0-9 years	Men	Polling area - 7. Nordvest	596	578	553	564	563	559	550	544	538
Never married	0-9 years	Men	Polling area - 7. Katrinedal	165	168	150	149	137	138	135	141	149
Never married	0-9 years	Men	Polling area - 7. Kirkebjerg	358	367	388	395	415	411	413	424	426
Never married	0-9 years	Men	Polling area - 7. Vanløse	603	537	473	450	434	430	381	377	359
Never married	0-9 years	Men	Polling area - 8. Valby	507	490	463	465	490	479	478	474	493
Never married	0-9 years	Men	Polling area - 8. Nord	482	423	405	367	356	339	365	338	346
Never married	0-9 years	Men	Polling area - 8. Syd	273	244	214	212	208	209	221	214	227
Never married	0-9 years	Men	Polling area - 8. Vest	483	435	371	324	333	309	312	338	337
Never married	0-9 years	Men	Polling area - 8. Sydøst	508	466	436	421	427	421	414	414	393
Never married	0-9 years	Men	Polling area - 8. Midt	283	266	252	241	251	246	243	233	241
Never married	0-9 years	Men	Polling area - 9. Vesterbro	607	558	532	506	524	518	505	469	435
Never married	0-9 years	Men	Polling area - 9. Nord	646	601	543	522	551	539	490	484	479
Never married	0-9 years	Men	Polling area - 9. Syd	522	492	434	415	395	425	414	395	429
Never married	0-9 years	Men	Polling area - 9. Øst	518	446	413	377	351	315	314	318	308
Never married	0-9 years	Men	Polling area - 9. Vest	394	382	375	350	355	337	358	376	366
Never married	0-9 years	Men	Polling area - 9. Midt	155	150	151	145	135	144	149	144	137
Never married	0-9 years	Men	Polling area - 9. Sydhavn	96	97	98	98	93	97	92	89	86
Never married	0-9 years	Women	Copenhagen total	24196	22368	20949	20076	19726	19517	19221	18830	18324
Never married	0-9 years	Women	District - Indre By	2261	2048	1926	1810	1740	1678	1610	1487	1458
Never married	0-9 years	Women	District - Østerbro	3233	2980	2789	2649	2445	2416	2440	2391	2318
Never married	0-9 years	Women	District - Nørrebro	3738	3455	3161	3072	3066	2978	2904	2823	2715
Never married	0-9 years	Women	District - Vesterbro/Kongens Enghave	2801	2669	2477	2349	2295	2296	2196	2114	2061
Never married	0-9 years	Women	District - Valby	2422	2204	2058	1987	1962	1926	1937	1916	1891
Never married	0-9 years	Women	District - Vanløse	1560	1468	1443	1382	1381	1451	1401	1390	1386
Never married	0-9 years	Women	District - Brønshøj-Husum	1995	1832	1724	1687	1679	1642	1640	1591	1572
Never married	0-9 years	Women	District - Bispebjerg	1545	1439	1326	1277	1280	1309	1289	1315	1301
Never married	0-9 years	Women	District - Amager Øst	2168	2040	1925	1815	1850	1851	1884	1841	1762
Never married	0-9 years	Women	District - Amager Vest	2473	2233	2120	2048	2028	1970	1920	1962	1860
Never married	0-9 years	Women	Polling area - 1. Østerbro	614	566	544	500	454	417	421	408	391
Never married	0-9 years	Women	Polling area - 1. Øst	343	316	270	265	257	237	224	225	230
Never married	0-9 years	Women	Polling area - 1. Nord	366	334	325	306	300	310	295	290	285
Never married	0-9 years	Women	Polling area - 1. Syd	778	681	636	575	543	522	538	513	502
Never married	0-9 years	Women	Polling area - 1. Vest	470	461	433	453	463	467	462	454	433
Never married	0-9 years	Women	Polling area - 1. Nordvest	662	622	581	550	428	463	500	501	477
Never married	0-9 years	Women	Polling area - 2. Sundbyvester	781	698	644	604	564	471	458	437	409
Never married	0-9 years	Women	Polling area - 2. Nord	773	671	651	621	636	619	665	716	672
Never married	0-9 years	Women	Polling area - 2. Syd	80	68	72	70	78	74	73	128	136
Never married	0-9 years	Women	Polling area - 2. Øst	434	438	418	430	438	528	476	453	428
Never married	0-9 years	Women	Polling area - 2. Vest	405	358	335	323	312	278	248	228	215
Never married	0-9 years	Women	Polling area - 3. Indre By	660	628	566	519	473	446	413	384	376
Never married	0-9 years	Women	Polling area - 3. Nord	423	383	371	358	346	335	314	289	309
Never married	0-9 years	Women	Polling area - 3. Syd	329	298	324	332	346	359	362	350	327
Never married	0-9 years	Women	Polling area - 3. Øst	849	739	665	601	575	538	521	464	446
Never married	0-9 years	Women	Polling area - 4. Sundbyøster	520	493	464	418	442	434	444	412	384
Never married	0-9 years	Women	Polling area - 4. Nord	728	694	658	618	647	658	692	684	647
Never married	0-9 years	Women	Polling area - 4. Syd	473	449	422	407	408	407	400	393	378
Never married	0-9 years	Women	Polling area - 4. Øst	447	404	381	372	353	352	348	352	353
Never married	0-9 years	Women	Polling area - 5. Nørrebro	411	407	396	402	407	414	414	407	372
Never married	0-9 years	Women	Polling area - 5. Nord	565	506	456	425	401	396	362	369	362
Never married	0-9 years	Women	Polling area - 5. Nørrebrohallen	445	390	382	422	430	383	362	345	319
Never married	0-9 years	Women	Polling area - 5. Syd	451	417	371	352	380	354	378	413	439
Never married	0-9 years	Women	Polling area - 5. Øst	545	488	418	373	332	325	317	288	280
Never married	0-9 years	Women	Polling area - 5. Vest	530	533	467	465	459	463	470	412	396
Never married	0-9 years	Women	Polling area - 5. Nordvest	791	714	671	633	657	643	601	589	547
Never married	0-9 years	Women	Polling area - 6. Bispebjerg	373	359	318	309	314	295	289	287	280
Never married	0-9 years	Women	Polling area - 6. Vest	229	217	206	201	193	197	202	202	201
Never married	0-9 years	Women	Polling area - 6. Nord	357	331	313	300	306	330	337	321	327
Never married	0-9 years	Women	Polling area - 6. Øst	116	108	98	99	99	103	101	143	143
Never married	0-9 years	Women	Polling area - 6. Syd	470	424	391	368	368	384	360	362	350
Never married	0-9 years	Women	Polling area - 7. Brønshøj	267	249	247	240	234	247	250	246	256
Never married	0-9 years	Women	Polling area - 7. Nord	631	559	522	499	474	442	416	415	415
Never married	0-9 years	Women	Polling area - 7. Syd	347	321	304	302	306	329	329	318	308
Never married	0-9 years	Women	Polling area - 7. Øst	429	404	352	365	383	373	381	366	382
Never married	0-9 years	Women	Polling area - 7. Vest	304	290	294	281	268	257	253	239	231
Never married	0-9 years	Women	Polling area - 7. Nordvest	554	517	488	482	491	491	494	481	446
Never married	0-9 years	Women	Polling area - 7. Katrinedal	151	152	134	131	135	133	128	116	125
Never married	0-9 years	Women	Polling area - 7. Kirkebjerg	343	330	354	342	356	387	389	401	384
Never married	0-9 years	Women	Polling area - 7. Vanløse	529	478	472	427	413	434	401	399	411
Never married	0-9 years	Women	Polling area - 8. Valby	500	485	459	442	447	442	456	458	440
Never married	0-9 years	Women	Polling area - 8. Nord	453	371	361	326	335	330	333	318	321
Never married	0-9 years	Women	Polling area - 8. Syd	247	252	240	235	230	222	205	211	222
Never married	0-9 years	Women	Polling area - 8. Vest	455	399	344	332	325	312	309	316	329
Never married	0-9 years	Women	Polling area - 8. Sydøst	507	450	431	427	408	402	407	393	357
Never married	0-9 years	Women	Polling area - 8. Midt	260	247	223	225	217	218	227	220	222
Never married	0-9 years	Women	Polling area - 9. Vesterbro	537	516	509	465	453	467	462	450	440
Never married	0-9 years	Women	Polling area - 9. Nord	643	610	523	530	510	506	434	418	406
Never married	0-9 years	Women	Polling area - 9. Syd	499	475	446	435	426	425	399	373	372
Never married	0-9 years	Women	Polling area - 9. Øst	488	435	399	372	359	339	334	322	295
Never married	0-9 years	Women	Polling area - 9. Vest	377	367	348	312	328	327	340	319	314
Never married	0-9 years	Women	Polling area - 9. Midt	152	173	156	142	131	147	143	150	148
Never married	0-9 years	Women	Polling area - 9. Sydhavn	105	93	96	93	88	85	84	82	86
Never married	10-19 years	Men	Copenhagen total	26440	25554	24638	23795	23053	22310	21949	21738	21065
Never married	10-19 years	Men	District - Indre By	2248	2206	2168	2097	2013	1982	1952	1934	1895
Never married	10-19 years	Men	District - Østerbro	3009	2883	2788	2669	2546	2506	2516	2536	2458
Never married	10-19 years	Men	District - Nørrebro	3420	3302	3251	3165	3066	2938	2860	2791	2736
Never married	10-19 years	Men	District - Vesterbro/Kongens Enghave	2774	2732	2574	2500	2484	2427	2341	2285	2172
Never married	10-19 years	Men	District - Valby	2785	2655	2570	2532	2443	2334	2305	2297	2185
Never married	10-19 years	Men	District - Vanløse	1738	1684	1628	1585	1574	1539	1516	1531	1511
Never married	10-19 years	Men	District - Brønshøj-Husum	2969	2864	2743	2601	2450	2362	2309	2200	2123
Never married	10-19 years	Men	District - Bispebjerg	2112	1997	1833	1723	1594	1505	1506	1508	1483
Never married	10-19 years	Men	District - Amager Øst	2397	2317	2197	2097	2111	2047	2030	1991	1928
Never married	10-19 years	Men	District - Amager Vest	2988	2914	2886	2826	2772	2670	2614	2665	2574
Never married	10-19 years	Men	Polling area - 1. Østerbro	587	571	559	546	540	544	543	531	484
Never married	10-19 years	Men	Polling area - 1. Øst	332	314	293	276	248	237	227	225	224
Never married	10-19 years	Men	Polling area - 1. Nord	327	313	298	293	298	287	270	282	274
Never married	10-19 years	Men	Polling area - 1. Syd	774	748	694	636	608	578	590	606	579
Never married	10-19 years	Men	Polling area - 1. Vest	437	423	420	417	429	437	428	429	436
Never married	10-19 years	Men	Polling area - 1. Nordvest	552	514	524	501	423	423	458	463	461
Never married	10-19 years	Men	Polling area - 2. Sundbyvester	864	831	819	817	826	693	669	649	632
Never married	10-19 years	Men	Polling area - 2. Nord	801	767	780	751	728	741	760	784	744
Never married	10-19 years	Men	Polling area - 2. Syd	156	135	150	148	158	122	115	151	165
Never married	10-19 years	Men	Polling area - 2. Øst	830	852	820	805	767	827	789	809	770
Never married	10-19 years	Men	Polling area - 2. Vest	337	329	317	305	293	287	281	272	263
Never married	10-19 years	Men	Polling area - 3. Indre By	660	675	659	620	583	594	597	587	558
Never married	10-19 years	Men	Polling area - 3. Nord	471	448	436	416	409	399	387	375	394
Never married	10-19 years	Men	Polling area - 3. Syd	299	297	321	335	324	323	317	340	325
Never married	10-19 years	Men	Polling area - 3. Øst	818	786	752	726	697	666	651	632	618
Never married	10-19 years	Men	Polling area - 4. Sundbyøster	533	524	493	475	474	452	461	420	391
Never married	10-19 years	Men	Polling area - 4. Nord	764	694	680	669	692	677	647	663	646
Never married	10-19 years	Men	Polling area - 4. Syd	514	498	457	426	437	418	423	413	421
Never married	10-19 years	Men	Polling area - 4. Øst	586	601	567	527	508	500	499	495	470
Never married	10-19 years	Men	Polling area - 5. Nørrebro	416	400	405	406	401	375	372	347	380
Never married	10-19 years	Men	Polling area - 5. Nord	397	405	414	399	366	370	367	357	338
Never married	10-19 years	Men	Polling area - 5. Nørrebrohallen	507	470	475	474	429	422	409	374	375
Never married	10-19 years	Men	Polling area - 5. Syd	432	438	415	390	407	380	361	356	343
Never married	10-19 years	Men	Polling area - 5. Øst	494	455	457	429	432	385	378	377	369
Never married	10-19 years	Men	Polling area - 5. Vest	465	458	430	432	418	427	425	427	404
Never married	10-19 years	Men	Polling area - 5. Nordvest	709	676	655	635	613	579	548	553	527
Never married	10-19 years	Men	Polling area - 6. Bispebjerg	462	444	419	397	354	333	334	319	317
Never married	10-19 years	Men	Polling area - 6. Vest	329	302	257	250	217	199	200	201	196
Never married	10-19 years	Men	Polling area - 6. Nord	556	529	484	457	432	409	404	393	405
Never married	10-19 years	Men	Polling area - 6. Øst	269	253	215	210	197	172	167	184	176
Never married	10-19 years	Men	Polling area - 6. Syd	496	469	458	409	394	392	401	411	389
Never married	10-19 years	Men	Polling area - 7. Brønshøj	333	327	327	308	303	298	292	287	280
Never married	10-19 years	Men	Polling area - 7. Nord	761	756	730	709	686	639	624	556	511
Never married	10-19 years	Men	Polling area - 7. Syd	436	424	381	366	357	357	347	361	354
Never married	10-19 years	Men	Polling area - 7. Øst	601	573	563	550	497	483	493	485	476
Never married	10-19 years	Men	Polling area - 7. Vest	506	454	420	403	360	365	348	332	311
Never married	10-19 years	Men	Polling area - 7. Nordvest	973	955	899	831	793	758	733	714	714
Never married	10-19 years	Men	Polling area - 7. Katrinedal	196	173	160	159	166	142	144	140	135
Never married	10-19 years	Men	Polling area - 7. Kirkebjerg	337	338	338	315	323	335	327	341	350
Never married	10-19 years	Men	Polling area - 7. Vanløse	564	548	553	545	539	524	517	515	503
Never married	10-19 years	Men	Polling area - 8. Valby	488	470	477	491	504	517	520	527	491
Never married	10-19 years	Men	Polling area - 8. Nord	369	350	340	343	346	307	324	324	336
Never married	10-19 years	Men	Polling area - 8. Syd	550	521	491	457	412	380	364	364	327
Never married	10-19 years	Men	Polling area - 8. Vest	612	600	579	574	534	521	505	514	471
Never married	10-19 years	Men	Polling area - 8. Sydøst	508	476	453	445	414	380	381	369	358
Never married	10-19 years	Men	Polling area - 8. Midt	258	238	230	222	233	229	211	199	202
Never married	10-19 years	Men	Polling area - 9. Vesterbro	519	521	501	473	466	483	466	445	434
Never married	10-19 years	Men	Polling area - 9. Nord	555	549	495	522	508	486	496	468	421
Never married	10-19 years	Men	Polling area - 9. Syd	585	589	573	532	517	487	460	441	407
Never married	10-19 years	Men	Polling area - 9. Øst	463	438	423	403	411	429	379	371	339
Never married	10-19 years	Men	Polling area - 9. Vest	400	407	392	395	414	384	382	392	400
Never married	10-19 years	Men	Polling area - 9. Midt	161	138	116	105	106	98	97	95	95
Never married	10-19 years	Men	Polling area - 9. Sydhavn	91	90	74	70	62	60	61	73	76
Never married	10-19 years	Women	Copenhagen total	25926	25298	24524	23835	23160	22344	21851	21567	20941
Never married	10-19 years	Women	District - Indre By	2242	2172	2131	2057	2091	2013	1967	1997	1937
Never married	10-19 years	Women	District - Østerbro	3087	3068	2952	2919	2809	2735	2716	2588	2513
Never married	10-19 years	Women	District - Nørrebro	3527	3427	3311	3218	3152	2956	2889	2922	2827
Never married	10-19 years	Women	District - Vesterbro/Kongens Enghave	2736	2594	2577	2510	2424	2434	2357	2274	2156
Never married	10-19 years	Women	District - Valby	2745	2698	2601	2545	2461	2389	2296	2240	2159
Never married	10-19 years	Women	District - Vanløse	1749	1710	1669	1561	1514	1484	1488	1472	1492
Never married	10-19 years	Women	District - Brønshøj-Husum	2651	2581	2508	2353	2206	2127	2055	1983	1914
Never married	10-19 years	Women	District - Bispebjerg	2032	1942	1842	1755	1684	1546	1539	1549	1493
Never married	10-19 years	Women	District - Amager Øst	2340	2274	2199	2271	2186	2136	2027	2046	2020
Never married	10-19 years	Women	District - Amager Vest	2817	2832	2734	2646	2633	2524	2517	2496	2430
Never married	10-19 years	Women	Polling area - 1. Østerbro	584	614	608	583	559	560	550	535	531
Never married	10-19 years	Women	Polling area - 1. Øst	334	317	306	291	268	248	252	233	218
Never married	10-19 years	Women	Polling area - 1. Nord	371	363	337	335	337	348	343	307	317
Never married	10-19 years	Women	Polling area - 1. Syd	835	820	778	761	728	694	662	642	604
Never married	10-19 years	Women	Polling area - 1. Vest	437	454	432	481	466	473	459	441	414
Never married	10-19 years	Women	Polling area - 1. Nordvest	526	500	491	468	451	412	450	430	429
Never married	10-19 years	Women	Polling area - 2. Sundbyvester	852	843	789	766	758	638	595	566	601
Never married	10-19 years	Women	Polling area - 2. Nord	748	727	726	705	729	708	729	736	713
Never married	10-19 years	Women	Polling area - 2. Syd	119	120	113	124	114	103	93	130	123
Never married	10-19 years	Women	Polling area - 2. Øst	767	804	771	735	710	763	786	776	743
Never married	10-19 years	Women	Polling area - 2. Vest	331	338	335	316	322	312	314	288	250
Never married	10-19 years	Women	Polling area - 3. Indre By	711	657	607	594	590	588	579	592	559
Never married	10-19 years	Women	Polling area - 3. Nord	431	410	408	398	417	426	433	427	418
Never married	10-19 years	Women	Polling area - 3. Syd	313	311	358	345	366	346	321	320	328
Never married	10-19 years	Women	Polling area - 3. Øst	787	794	758	720	718	653	634	658	632
Never married	10-19 years	Women	Polling area - 4. Sundbyøster	541	510	507	533	510	492	467	443	432
Never married	10-19 years	Women	Polling area - 4. Nord	775	726	714	756	733	727	695	689	690
Never married	10-19 years	Women	Polling area - 4. Syd	488	489	464	458	456	445	416	445	446
Never married	10-19 years	Women	Polling area - 4. Øst	536	549	514	524	487	472	449	469	452
Never married	10-19 years	Women	Polling area - 5. Nørrebro	387	381	369	353	380	363	342	344	378
Never married	10-19 years	Women	Polling area - 5. Nord	457	428	438	433	440	428	431	428	363
Never married	10-19 years	Women	Polling area - 5. Nørrebrohallen	437	427	442	436	433	410	385	408	385
Never married	10-19 years	Women	Polling area - 5. Syd	475	462	430	405	409	341	336	358	356
Never married	10-19 years	Women	Polling area - 5. Øst	488	499	483	471	453	385	374	370	352
Never married	10-19 years	Women	Polling area - 5. Vest	520	479	453	442	414	403	396	396	384
Never married	10-19 years	Women	Polling area - 5. Nordvest	763	751	696	678	623	626	625	618	609
Never married	10-19 years	Women	Polling area - 6. Bispebjerg	484	471	442	413	399	368	355	348	337
Never married	10-19 years	Women	Polling area - 6. Vest	326	297	262	245	213	187	202	208	189
Never married	10-19 years	Women	Polling area - 6. Nord	479	471	467	443	425	381	373	371	383
Never married	10-19 years	Women	Polling area - 6. Øst	225	221	211	193	192	184	177	192	193
Never married	10-19 years	Women	Polling area - 6. Syd	518	482	460	461	455	426	432	430	391
Never married	10-19 years	Women	Polling area - 7. Brønshøj	311	308	299	295	281	272	275	265	276
Never married	10-19 years	Women	Polling area - 7. Nord	684	676	656	618	609	583	561	516	487
Never married	10-19 years	Women	Polling area - 7. Syd	400	416	394	378	362	349	318	338	343
Never married	10-19 years	Women	Polling area - 7. Øst	622	593	563	513	465	445	432	440	413
Never married	10-19 years	Women	Polling area - 7. Vest	469	444	436	400	374	365	345	308	288
Never married	10-19 years	Women	Polling area - 7. Nordvest	782	762	742	704	650	629	621	620	625
Never married	10-19 years	Women	Polling area - 7. Katrinedal	177	169	163	146	135	141	140	130	135
Never married	10-19 years	Women	Polling area - 7. Kirkebjerg	361	375	372	344	334	346	365	366	360
Never married	10-19 years	Women	Polling area - 7. Vanløse	594	548	552	516	510	481	486	472	479
Never married	10-19 years	Women	Polling area - 8. Valby	502	489	489	482	480	494	488	485	456
Never married	10-19 years	Women	Polling area - 8. Nord	415	391	379	389	370	365	353	366	377
Never married	10-19 years	Women	Polling area - 8. Syd	518	476	437	405	371	349	319	296	271
Never married	10-19 years	Women	Polling area - 8. Vest	592	606	583	551	505	490	453	446	435
Never married	10-19 years	Women	Polling area - 8. Sydøst	463	476	447	455	468	445	452	432	396
Never married	10-19 years	Women	Polling area - 8. Midt	255	260	266	263	267	246	231	215	224
Never married	10-19 years	Women	Polling area - 9. Vesterbro	515	489	485	467	457	466	448	435	394
Never married	10-19 years	Women	Polling area - 9. Nord	557	534	527	524	509	496	508	461	450
Never married	10-19 years	Women	Polling area - 9. Syd	579	527	520	498	469	463	440	417	397
Never married	10-19 years	Women	Polling area - 9. Øst	441	408	419	413	385	418	404	400	376
Never married	10-19 years	Women	Polling area - 9. Vest	417	418	412	404	407	388	376	382	376
Never married	10-19 years	Women	Polling area - 9. Midt	123	126	117	123	124	128	103	103	97
Never married	10-19 years	Women	Polling area - 9. Sydhavn	104	92	97	81	73	75	78	76	66
Never married	20-29 years	Men	Copenhagen total	34505	34591	34777	35607	36664	37881	38970	39632	40641
Never married	20-29 years	Men	District - Indre By	4612	4549	4379	4400	4480	4484	4572	4487	4485
Never married	20-29 years	Men	District - Østerbro	4815	4715	4763	4973	5194	5432	5609	5713	5841
Never married	20-29 years	Men	District - Nørrebro	6055	6130	6251	6418	6657	6802	7041	7107	7224
Never married	20-29 years	Men	District - Vesterbro/Kongens Enghave	3968	4013	4105	4414	4516	4761	4843	4992	5239
Never married	20-29 years	Men	District - Valby	2278	2343	2345	2410	2477	2541	2694	2778	2904
Never married	20-29 years	Men	District - Vanløse	1882	1857	1879	1829	1873	1966	2113	2187	2228
Never married	20-29 years	Men	District - Brønshøj-Husum	1898	1861	1798	1817	1835	1878	1838	1911	1897
Never married	20-29 years	Men	District - Bispebjerg	2107	2109	2116	2154	2237	2259	2320	2426	2567
Never married	20-29 years	Men	District - Amager Øst	3217	3358	3454	3569	3726	3944	3998	4000	4156
Never married	20-29 years	Men	District - Amager Vest	3673	3656	3687	3623	3669	3814	3942	4031	4100
Never married	20-29 years	Men	Polling area - 1. Østerbro	1042	1034	1078	1107	1160	1225	1200	1236	1297
Never married	20-29 years	Men	Polling area - 1. Øst	486	497	543	592	634	651	657	641	604
Never married	20-29 years	Men	Polling area - 1. Nord	412	382	369	349	378	389	404	422	463
Never married	20-29 years	Men	Polling area - 1. Syd	1416	1305	1274	1373	1354	1443	1490	1501	1500
Never married	20-29 years	Men	Polling area - 1. Vest	685	732	756	772	840	885	925	985	1046
Never married	20-29 years	Men	Polling area - 1. Nordvest	774	765	743	780	828	839	933	928	931
Never married	20-29 years	Men	Polling area - 2. Sundbyvester	580	596	568	595	574	616	656	690	713
Never married	20-29 years	Men	Polling area - 2. Nord	982	1016	1021	1100	1167	1226	1290	1319	1386
Never married	20-29 years	Men	Polling area - 2. Syd	747	637	645	533	517	520	487	508	470
Never married	20-29 years	Men	Polling area - 2. Øst	867	875	889	842	828	852	880	852	821
Never married	20-29 years	Men	Polling area - 2. Vest	497	532	564	553	583	600	629	662	710
Never married	20-29 years	Men	Polling area - 3. Indre By	1473	1422	1396	1358	1405	1429	1440	1447	1437
Never married	20-29 years	Men	Polling area - 3. Nord	691	691	653	639	644	647	679	678	673
Never married	20-29 years	Men	Polling area - 3. Syd	985	991	996	1029	994	950	969	930	875
Never married	20-29 years	Men	Polling area - 3. Øst	1463	1445	1334	1374	1437	1458	1484	1432	1500
Never married	20-29 years	Men	Polling area - 4. Sundbyøster	681	696	749	767	841	881	895	890	958
Never married	20-29 years	Men	Polling area - 4. Nord	1372	1460	1504	1586	1681	1811	1815	1807	1847
Never married	20-29 years	Men	Polling area - 4. Syd	596	648	646	659	654	702	722	748	761
Never married	20-29 years	Men	Polling area - 4. Øst	568	554	555	557	550	550	566	555	590
Never married	20-29 years	Men	Polling area - 5. Nørrebro	650	669	699	675	710	752	837	821	869
Never married	20-29 years	Men	Polling area - 5. Nord	1319	1364	1452	1534	1551	1573	1640	1583	1550
Never married	20-29 years	Men	Polling area - 5. Nørrebrohallen	483	562	623	700	751	810	782	851	835
Never married	20-29 years	Men	Polling area - 5. Syd	1009	921	872	906	907	785	756	746	758
Never married	20-29 years	Men	Polling area - 5. Øst	824	822	849	846	905	910	964	1004	1020
Never married	20-29 years	Men	Polling area - 5. Vest	803	778	726	661	685	723	735	740	803
Never married	20-29 years	Men	Polling area - 5. Nordvest	967	1014	1030	1096	1148	1249	1327	1362	1389
Never married	20-29 years	Men	Polling area - 6. Bispebjerg	681	676	694	699	742	743	759	777	804
Never married	20-29 years	Men	Polling area - 6. Vest	269	248	266	256	256	257	264	281	292
Never married	20-29 years	Men	Polling area - 6. Nord	441	456	459	467	442	470	472	477	513
Never married	20-29 years	Men	Polling area - 6. Øst	165	147	129	123	140	140	145	187	187
Never married	20-29 years	Men	Polling area - 6. Syd	551	582	568	609	657	649	680	704	771
Never married	20-29 years	Men	Polling area - 7. Brønshøj	261	286	287	292	280	291	315	324	348
Never married	20-29 years	Men	Polling area - 7. Nord	293	310	331	335	350	346	337	339	358
Never married	20-29 years	Men	Polling area - 7. Syd	457	463	465	455	480	488	515	538	545
Never married	20-29 years	Men	Polling area - 7. Øst	532	517	508	491	522	549	528	553	556
Never married	20-29 years	Men	Polling area - 7. Vest	416	401	368	365	360	359	372	393	378
Never married	20-29 years	Men	Polling area - 7. Nordvest	578	549	514	540	541	557	523	550	532
Never married	20-29 years	Men	Polling area - 7. Katrinedal	233	241	237	222	227	261	284	283	264
Never married	20-29 years	Men	Polling area - 7. Kirkebjerg	384	328	343	329	321	351	354	379	383
