region	sex	age	country of origin	2008Q1	2008Q2	2008Q3	2008Q4
Copenhagen	Men	0-4 years	San Marino	0	0	0	0
Copenhagen	Men	0-4 years	Switzerland	8	10	9	7
Copenhagen	Men	0-4 years	Serbia	2	2	2	2
Copenhagen	Men	0-4 years	Serbia and Montenegro	2	2	2	2
Copenhagen	Men	0-4 years	Slovakia	1	2	2	2
Copenhagen	Men	0-4 years	Slovenia	2	2	2	3
Copenhagen	Men	0-4 years	Soviet Union	3	3	3	3
Copenhagen	Men	0-4 years	Spain	5	5	4	5
Copenhagen	Men	0-4 years	United Kingdom	40	39	38	41
Copenhagen	Men	0-4 years	Sweden	48	49	53	47
Copenhagen	Men	0-4 years	Czech Republic	2	3	3	3
Copenhagen	Men	0-4 years	Czechoslovakia	0	0	0	0
Copenhagen	Men	0-4 years	Turkey	257	262	254	253
Copenhagen	Men	0-4 years	GDR	0	0	0	0
Copenhagen	Men	0-4 years	Germany	38	41	39	38
Copenhagen	Men	0-4 years	Ukraine	14	14	14	15
Copenhagen	Men	0-4 years	Hungary	6	6	7	7
Copenhagen	Men	0-4 years	Vatican City State	0	0	0	0
Copenhagen	Men	0-4 years	Austria	4	3	4	4
Copenhagen	Men	0-4 years	Europe not stated	0	0	0	0
Copenhagen	Men	0-4 years	Algeria	27	25	24	23
Copenhagen	Men	0-4 years	Angola	0	0	0	0
Copenhagen	Men	0-4 years	Benin	0	0	0	0
Copenhagen	Men	0-4 years	Botswana	1	1	1	1
Copenhagen	Men	0-4 years	Burkina Faso	0	0	0	0
Copenhagen	Men	0-4 years	Burundi	9	9	9	9
Copenhagen	Men	0-4 years	Cameroon	5	5	4	4
Copenhagen	Men	0-4 years	Central African Republic	1	1	1	1
Copenhagen	Men	0-4 years	Comoros	0	0	0	0
Copenhagen	Men	0-4 years	Congo, Democratic Republic	1	1	1	3
Copenhagen	Men	0-4 years	Congo, Republic	1	0	0	1
Copenhagen	Men	0-4 years	Djibouti	3	3	3	3
Copenhagen	Men	0-4 years	Egypt	21	18	21	24
Copenhagen	Men	0-4 years	Ivory Coast	6	6	6	6
Copenhagen	Men	0-4 years	Eritrea	8	8	7	7
Copenhagen	Men	0-4 years	Ethiopia	9	9	9	9
Copenhagen	Men	0-4 years	Gabon	0	0	0	0
Copenhagen	Men	0-4 years	Gambia, The	18	18	18	17
Copenhagen	Men	0-4 years	Ghana	19	19	18	18
Copenhagen	Men	0-4 years	Guinea	5	5	5	5
Copenhagen	Men	0-4 years	Guinea-Bissau	1	0	0	0
Copenhagen	Men	0-4 years	Cape Verde	0	0	0	0
Copenhagen	Men	0-4 years	Kenya	6	7	7	7
Copenhagen	Men	0-4 years	Lesotho	2	1	1	1
Copenhagen	Men	0-4 years	Liberia	2	2	2	1
Copenhagen	Men	0-4 years	Libya	3	3	3	3
Copenhagen	Men	0-4 years	Madagascar	1	1	1	1
Copenhagen	Men	0-4 years	Malawi	0	0	0	0
Copenhagen	Men	0-4 years	Mali	1	1	1	1
Copenhagen	Men	0-4 years	Morocco	212	203	206	201
Copenhagen	Men	0-4 years	Mauritania	0	0	0	0
Copenhagen	Men	0-4 years	Mauritius	1	1	1	1
Copenhagen	Men	0-4 years	Mozambique	3	2	1	1
Copenhagen	Men	0-4 years	Namibia	0	0	0	0
Copenhagen	Men	0-4 years	Niger	0	0	0	0
Copenhagen	Men	0-4 years	Nigeria	14	16	17	19
Copenhagen	Men	0-4 years	Reunion	0	0	0	0
Copenhagen	Men	0-4 years	Rwanda	1	1	1	1
Copenhagen	Men	0-4 years	Sao Tome and Principe	0	0	0	0
Copenhagen	Men	0-4 years	Senegal	1	1	1	1
Copenhagen	Men	0-4 years	Seychelles	0	0	0	0
Copenhagen	Men	0-4 years	Sierra Leone	5	5	5	4
Copenhagen	Men	0-4 years	Somalia	339	343	338	339
Copenhagen	Men	0-4 years	Spanish territories in Africa	0	0	0	0
Copenhagen	Men	0-4 years	Saint Helena	0	0	0	0
Copenhagen	Men	0-4 years	Sudan	5	7	7	8
Copenhagen	Men	0-4 years	Eswantini	0	0	0	0
Copenhagen	Men	0-4 years	South Africa	1	1	2	2
Copenhagen	Men	0-4 years	South Sudan	0	0	0	0
Copenhagen	Men	0-4 years	Southwest Africa	0	0	0	0
Copenhagen	Men	0-4 years	Tanzania	7	9	8	8
Copenhagen	Men	0-4 years	Chad	0	0	0	0
Copenhagen	Men	0-4 years	Togo	6	5	5	4
Copenhagen	Men	0-4 years	Tunisia	24	22	22	20
Copenhagen	Men	0-4 years	Uganda	11	10	11	11
Copenhagen	Men	0-4 years	Zambia	1	1	1	1
Copenhagen	Men	0-4 years	Zimbabwe	0	0	0	1
Copenhagen	Men	0-4 years	Equatorial Guinea	0	0	0	0
Copenhagen	Men	0-4 years	Africa not stated	0	0	0	0
Copenhagen	Men	0-4 years	Canada	4	3	4	4
Copenhagen	Men	0-4 years	USA	25	26	26	26
Copenhagen	Men	0-4 years	North America not stated	0	0	0	0
Copenhagen	Men	0-4 years	Antigua and Barbuda	0	0	0	0
Copenhagen	Men	0-4 years	Argentina	4	5	6	7
Copenhagen	Men	0-4 years	Aruba	0	0	0	0
Copenhagen	Men	0-4 years	Bahamas	0	0	0	0
Copenhagen	Men	0-4 years	Barbados	0	0	0	0
Copenhagen	Men	0-4 years	Belize	0	0	0	0
Copenhagen	Men	0-4 years	Bermuda	0	0	0	0
Copenhagen	Men	0-4 years	Bolivia	4	3	3	2
Copenhagen	Men	0-4 years	Brazil	2	2	3	2
Copenhagen	Men	0-4 years	British West Indies	0	0	0	0
Copenhagen	Men	0-4 years	Chile	3	4	4	6
Copenhagen	Men	0-4 years	Colombia	3	1	1	1
Copenhagen	Men	0-4 years	Costa Rica	0	0	0	0
Copenhagen	Men	0-4 years	Cuba	2	1	1	1
Copenhagen	Men	0-4 years	Curacao	0	0	0	0
Copenhagen	Men	0-4 years	Dominica	0	0	0	0
Copenhagen	Men	0-4 years	Dominican Republic	0	0	0	0
Copenhagen	Men	0-4 years	Ecuador	1	1	2	2
Copenhagen	Men	0-4 years	El Salvador	0	0	0	0
Copenhagen	Men	0-4 years	Falkland Islands	0	0	0	0
Copenhagen	Men	0-4 years	French Guiana	0	0	0	0
Copenhagen	Men	0-4 years	French West Indies	0	0	0	0
Copenhagen	Men	0-4 years	Grenada	0	0	0	0
Copenhagen	Men	0-4 years	Guadeloupe	0	0	0	0
Copenhagen	Men	0-4 years	Guatemala	0	0	0	0
Copenhagen	Men	0-4 years	Guyana	0	0	0	0
Copenhagen	Men	0-4 years	Haiti	0	0	0	0
Copenhagen	Men	0-4 years	Netherlands Antilles	0	0	0	0
Copenhagen	Men	0-4 years	Honduras	0	0	0	1
Copenhagen	Men	0-4 years	Jamaica	0	0	0	0
Copenhagen	Men	0-4 years	Martinique	0	0	0	0
Copenhagen	Men	0-4 years	Mexico	2	2	3	3
Copenhagen	Men	0-4 years	Nauru	0	0	0	0
Copenhagen	Men	0-4 years	Nicaragua	0	0	0	0
Copenhagen	Men	0-4 years	Panama	0	0	0	0
Copenhagen	Men	0-4 years	Paraguay	1	1	1	1
Copenhagen	Men	0-4 years	Peru	5	4	4	4
Copenhagen	Men	0-4 years	Puerto Rico	0	0	0	0
Copenhagen	Men	0-4 years	Saint Kitts and Nevis	0	0	0	0
Copenhagen	Men	0-4 years	Saint Lucia	0	0	0	0
Copenhagen	Men	0-4 years	Saint Vincent and the Grenadines	0	0	0	0
Copenhagen	Men	0-4 years	Suriname	0	0	0	0
Copenhagen	Men	0-4 years	Trinidad and Tobago	1	1	0	0
Copenhagen	Men	0-4 years	Uruguay	0	0	0	0
Copenhagen	Men	0-4 years	Venezuela	0	0	0	0
Copenhagen	Men	0-4 years	West Indies	0	0	0	0
Copenhagen	Men	0-4 years	South and central America not stated	0	0	0	0
Copenhagen	Men	0-4 years	Abu Dhabi	0	0	0	0
Copenhagen	Men	0-4 years	Afghanistan	59	55	59	58
Copenhagen	Men	0-4 years	Armenia	4	4	4	4
Copenhagen	Men	0-4 years	Azerbaijan	3	3	3	3
Copenhagen	Men	0-4 years	Bahrain	0	0	0	0
Copenhagen	Men	0-4 years	Bangladesh	26	27	26	23
Copenhagen	Men	0-4 years	Bhutan	0	0	0	0
Copenhagen	Men	0-4 years	Brunei	0	0	0	0
Copenhagen	Men	0-4 years	Cambodia	0	1	1	2
Copenhagen	Men	0-4 years	Dubai	0	0	0	0
Copenhagen	Men	0-4 years	Philippines	38	38	39	36
Copenhagen	Men	0-4 years	United Arab Emirates	4	3	3	3
Copenhagen	Men	0-4 years	Georgia	2	2	2	2
Copenhagen	Men	0-4 years	Hong Kong	0	0	0	0
Copenhagen	Men	0-4 years	India	73	72	71	74
Copenhagen	Men	0-4 years	Indochina	0	0	0	0
Copenhagen	Men	0-4 years	Indonesia	3	3	3	3
Copenhagen	Men	0-4 years	Iraq	355	349	337	330
Copenhagen	Men	0-4 years	Iran	95	87	82	76
Copenhagen	Men	0-4 years	Israel	5	3	4	5
Copenhagen	Men	0-4 years	Japan	3	5	7	6
Copenhagen	Men	0-4 years	Jordan	64	63	60	59
Copenhagen	Men	0-4 years	Kazakhstan	1	1	2	2
Copenhagen	Men	0-4 years	China	58	57	58	59
Copenhagen	Men	0-4 years	Kyrgyzstan	0	0	0	0
Copenhagen	Men	0-4 years	Kuwait	21	21	22	22
Copenhagen	Men	0-4 years	Laos	0	0	0	0
Copenhagen	Men	0-4 years	Lebanon	231	222	212	202
Copenhagen	Men	0-4 years	Macao	0	0	0	0
Copenhagen	Men	0-4 years	Malaysia	2	2	2	3
Copenhagen	Men	0-4 years	Maldives	0	0	0	0
Copenhagen	Men	0-4 years	Middle East not stated	1	1	1	2
Copenhagen	Men	0-4 years	Mongolia	0	0	0	0
Copenhagen	Men	0-4 years	Myanmar	0	0	0	0
Copenhagen	Men	0-4 years	Nepal	4	5	6	6
Copenhagen	Men	0-4 years	North Korea	1	1	1	1
Copenhagen	Men	0-4 years	Oman	0	0	0	0
Copenhagen	Men	0-4 years	Pakistan	245	246	249	248
Copenhagen	Men	0-4 years	West bank and Gaza	0	0	0	0
Copenhagen	Men	0-4 years	Qatar	0	0	0	0
Copenhagen	Men	0-4 years	Saudi Arabia	2	2	2	2
Copenhagen	Men	0-4 years	Sikkim	0	0	0	0
Copenhagen	Men	0-4 years	Singapore	5	7	9	8
Copenhagen	Men	0-4 years	Sri Lanka	7	9	9	7
Copenhagen	Men	0-4 years	South Korea	18	17	18	15
Copenhagen	Men	0-4 years	Syria	55	54	56	52
Copenhagen	Men	0-4 years	Tajikistan	0	0	0	0
Copenhagen	Men	0-4 years	Taiwan	0	1	1	1
Copenhagen	Men	0-4 years	Thailand	29	27	26	31
Copenhagen	Men	0-4 years	Trucial Oman	0	0	0	0
Copenhagen	Men	0-4 years	Turkmenistan	0	0	0	0
Copenhagen	Men	0-4 years	Uzbekistan	0	0	0	0
Copenhagen	Men	0-4 years	Vietnam	19	21	25	24
Copenhagen	Men	0-4 years	North Yemen	0	0	0	0
Copenhagen	Men	0-4 years	Yemen	4	4	4	4
Copenhagen	Men	0-4 years	Asia not stated	0	0	0	0
Copenhagen	Men	0-4 years	Australia	4	4	5	8
Copenhagen	Men	0-4 years	Cook Islands	0	0	0	0
Copenhagen	Men	0-4 years	Fiji	0	0	0	0
Copenhagen	Men	0-4 years	French territories in the Pacific	0	0	0	0
Copenhagen	Men	0-4 years	Kiribati	0	0	0	0
Copenhagen	Men	0-4 years	Marshall Islands	0	0	0	0
Copenhagen	Men	0-4 years	New Zealand	1	2	2	2
Copenhagen	Men	0-4 years	Papua New Guinea	0	0	0	0
Copenhagen	Men	0-4 years	Solomon Islands	0	0	0	0
Copenhagen	Men	0-4 years	Samoa	0	0	0	0
Copenhagen	Men	0-4 years	Tonga	1	1	1	1
Copenhagen	Men	0-4 years	Tuvalu	0	0	0	0
Copenhagen	Men	0-4 years	Vanuatu	0	0	0	0
Copenhagen	Men	0-4 years	East Timor	0	0	0	0
Copenhagen	Men	0-4 years	Pacific Islands	0	0	0	0
Copenhagen	Men	0-4 years	Stateless	8	7	5	5
Copenhagen	Men	0-4 years	Not stated	5	5	5	4
Copenhagen	Men	5-9 years	Total	11942	11937	11981	11991
Copenhagen	Men	5-9 years	Denmark	8462	8515	8587	8586
Copenhagen	Men	5-9 years	Albania	2	2	2	2
Copenhagen	Men	5-9 years	Andorra	0	0	0	0
Copenhagen	Men	5-9 years	Belgium	4	4	4	4
Copenhagen	Men	5-9 years	Bosnia and Herzegovina	45	43	46	46
Copenhagen	Men	5-9 years	Bulgaria	7	6	7	7
Copenhagen	Men	5-9 years	Cyprus	0	0	0	0
Copenhagen	Men	5-9 years	Estonia	3	4	3	4
Copenhagen	Men	5-9 years	Finland	7	6	8	10
Copenhagen	Men	5-9 years	France	24	27	27	30
Copenhagen	Men	5-9 years	Greece	0	0	0	1
Copenhagen	Men	5-9 years	Belarus	1	1	1	0
Copenhagen	Men	5-9 years	Ireland	0	0	0	0
Copenhagen	Men	5-9 years	Iceland	38	38	34	36
Copenhagen	Men	5-9 years	Italy	7	7	7	6
Copenhagen	Men	5-9 years	Yugoslavia	129	127	123	124
Copenhagen	Men	5-9 years	Yugoslavia, Federal Republic	8	8	10	10
Copenhagen	Men	5-9 years	Kosovo	0	0	1	1
Copenhagen	Men	5-9 years	Croatia	7	7	8	10
Copenhagen	Men	5-9 years	Latvia	4	4	4	4
Copenhagen	Men	5-9 years	Liechtenstein	0	0	0	0
Copenhagen	Men	5-9 years	Lithuania	6	8	9	8
Copenhagen	Men	5-9 years	Luxembourg	0	0	0	0
Copenhagen	Men	5-9 years	Republic of North Macedonia	111	106	108	115
Copenhagen	Men	5-9 years	Malta	0	0	0	0
Copenhagen	Men	5-9 years	Moldova	1	1	1	1
Copenhagen	Men	5-9 years	Monaco	0	0	0	0
Copenhagen	Men	5-9 years	Montenegro	1	1	1	1
Copenhagen	Men	5-9 years	Netherlands	9	8	10	8
Copenhagen	Men	5-9 years	Northern Ireland	0	0	0	0
Copenhagen	Men	5-9 years	Norway	10	9	8	11
Copenhagen	Men	5-9 years	Poland	46	46	46	53
Copenhagen	Men	5-9 years	Portugal	5	5	4	6
Copenhagen	Men	5-9 years	Romania	10	11	10	9
Copenhagen	Men	5-9 years	Russia	15	16	18	18
Copenhagen	Men	5-9 years	San Marino	0	0	0	0
Copenhagen	Men	5-9 years	Switzerland	2	2	2	1
Copenhagen	Men	5-9 years	Serbia	0	0	1	0
Copenhagen	Men	5-9 years	Serbia and Montenegro	2	2	2	2
Copenhagen	Men	5-9 years	Slovakia	0	0	0	1
Copenhagen	Men	5-9 years	Slovenia	0	0	0	0
Copenhagen	Men	5-9 years	Soviet Union	8	7	7	7
Copenhagen	Men	5-9 years	Spain	3	2	2	4
Copenhagen	Men	5-9 years	United Kingdom	27	28	29	30
Copenhagen	Men	5-9 years	Sweden	20	23	24	23
Copenhagen	Men	5-9 years	Czech Republic	2	1	1	1
Copenhagen	Men	5-9 years	Czechoslovakia	2	2	1	1
Copenhagen	Men	5-9 years	Turkey	371	360	354	345
Copenhagen	Men	5-9 years	GDR	0	0	0	0
Copenhagen	Men	5-9 years	Germany	28	26	24	26
Copenhagen	Men	5-9 years	Ukraine	5	5	8	7
Copenhagen	Men	5-9 years	Hungary	1	1	2	2
Copenhagen	Men	5-9 years	Vatican City State	0	0	0	0
Copenhagen	Men	5-9 years	Austria	4	5	5	5
Copenhagen	Men	5-9 years	Europe not stated	0	0	0	0
Copenhagen	Men	5-9 years	Algeria	29	32	32	31
Copenhagen	Men	5-9 years	Angola	0	0	0	0
Copenhagen	Men	5-9 years	Benin	0	0	0	0
Copenhagen	Men	5-9 years	Botswana	0	0	0	0
Copenhagen	Men	5-9 years	Burkina Faso	1	1	0	0
Copenhagen	Men	5-9 years	Burundi	3	3	3	3
Copenhagen	Men	5-9 years	Cameroon	3	3	4	4
Copenhagen	Men	5-9 years	Central African Republic	0	0	0	0
Copenhagen	Men	5-9 years	Comoros	0	0	0	0
Copenhagen	Men	5-9 years	Congo, Democratic Republic	2	2	1	1
Copenhagen	Men	5-9 years	Congo, Republic	2	3	3	4
Copenhagen	Men	5-9 years	Djibouti	1	1	1	1
Copenhagen	Men	5-9 years	Egypt	24	27	24	25
Copenhagen	Men	5-9 years	Ivory Coast	3	3	3	4
Copenhagen	Men	5-9 years	Eritrea	6	6	7	7
Copenhagen	Men	5-9 years	Ethiopia	15	14	14	14
Copenhagen	Men	5-9 years	Gabon	0	0	0	0
Copenhagen	Men	5-9 years	Gambia, The	18	17	17	17
Copenhagen	Men	5-9 years	Ghana	18	16	16	15
Copenhagen	Men	5-9 years	Guinea	2	1	1	0
Copenhagen	Men	5-9 years	Guinea-Bissau	0	1	1	1
Copenhagen	Men	5-9 years	Cape Verde	0	0	0	0
Copenhagen	Men	5-9 years	Kenya	7	7	8	8
Copenhagen	Men	5-9 years	Lesotho	0	1	1	1
Copenhagen	Men	5-9 years	Liberia	1	1	1	2
Copenhagen	Men	5-9 years	Libya	5	5	5	5
Copenhagen	Men	5-9 years	Madagascar	1	1	1	1
Copenhagen	Men	5-9 years	Malawi	0	0	0	0
Copenhagen	Men	5-9 years	Mali	1	1	1	1
Copenhagen	Men	5-9 years	Morocco	267	266	260	255
Copenhagen	Men	5-9 years	Mauritania	1	1	1	1
Copenhagen	Men	5-9 years	Mauritius	3	3	3	2
Copenhagen	Men	5-9 years	Mozambique	0	0	0	0
Copenhagen	Men	5-9 years	Namibia	0	0	0	0
Copenhagen	Men	5-9 years	Niger	1	1	0	0
Copenhagen	Men	5-9 years	Nigeria	8	7	6	6
Copenhagen	Men	5-9 years	Reunion	0	0	0	0
Copenhagen	Men	5-9 years	Rwanda	0	0	0	0
Copenhagen	Men	5-9 years	Sao Tome and Principe	0	0	0	0
Copenhagen	Men	5-9 years	Senegal	1	1	1	1
Copenhagen	Men	5-9 years	Seychelles	0	0	0	0
Copenhagen	Men	5-9 years	Sierra Leone	1	1	1	2
Copenhagen	Men	5-9 years	Somalia	340	332	331	333
Copenhagen	Men	5-9 years	Spanish territories in Africa	0	0	0	0
Copenhagen	Men	5-9 years	Saint Helena	0	0	0	0
Copenhagen	Men	5-9 years	Sudan	2	2	1	1
Copenhagen	Men	5-9 years	Eswantini	0	0	0	0
Copenhagen	Men	5-9 years	South Africa	2	2	2	2
Copenhagen	Men	5-9 years	South Sudan	0	0	0	0
Copenhagen	Men	5-9 years	Southwest Africa	0	0	0	0
Copenhagen	Men	5-9 years	Tanzania	9	9	10	10
Copenhagen	Men	5-9 years	Chad	0	0	0	0
Copenhagen	Men	5-9 years	Togo	1	2	2	3
Copenhagen	Men	5-9 years	Tunisia	26	27	26	25
Copenhagen	Men	5-9 years	Uganda	6	6	6	5
Copenhagen	Men	5-9 years	Zambia	1	1	1	1
Copenhagen	Men	5-9 years	Zimbabwe	0	0	0	0
Copenhagen	Men	5-9 years	Equatorial Guinea	0	0	0	0
Copenhagen	Men	5-9 years	Africa not stated	0	0	0	0
Copenhagen	Men	5-9 years	Canada	2	2	1	2
Copenhagen	Men	5-9 years	USA	22	20	20	19
Copenhagen	Men	5-9 years	North America not stated	0	0	0	0
Copenhagen	Men	5-9 years	Antigua and Barbuda	0	0	0	0
Copenhagen	Men	5-9 years	Argentina	2	1	1	1
Copenhagen	Men	5-9 years	Aruba	0	0	0	0
Copenhagen	Men	5-9 years	Bahamas	0	0	0	0
Copenhagen	Men	5-9 years	Barbados	0	0	0	0
Copenhagen	Men	5-9 years	Belize	0	0	0	0
Copenhagen	Men	5-9 years	Bermuda	0	0	0	0
Copenhagen	Men	5-9 years	Bolivia	3	3	3	4
Copenhagen	Men	5-9 years	Brazil	8	9	9	9
Copenhagen	Men	5-9 years	British West Indies	0	0	0	0
Copenhagen	Men	5-9 years	Chile	3	3	3	3
Copenhagen	Men	5-9 years	Colombia	2	2	2	1
Copenhagen	Men	5-9 years	Costa Rica	0	0	0	0
Copenhagen	Men	5-9 years	Cuba	0	1	1	1
Copenhagen	Men	5-9 years	Curacao	0	0	0	0
Copenhagen	Men	5-9 years	Dominica	0	0	0	0
Copenhagen	Men	5-9 years	Dominican Republic	0	0	0	0
Copenhagen	Men	5-9 years	Ecuador	0	0	0	0
Copenhagen	Men	5-9 years	El Salvador	0	0	0	0
Copenhagen	Men	5-9 years	Falkland Islands	0	0	0	0
Copenhagen	Men	5-9 years	French Guiana	0	0	0	0
Copenhagen	Men	5-9 years	French West Indies	0	0	0	0
Copenhagen	Men	5-9 years	Grenada	0	0	0	0
Copenhagen	Men	5-9 years	Guadeloupe	0	0	0	0
Copenhagen	Men	5-9 years	Guatemala	0	0	0	0
Copenhagen	Men	5-9 years	Guyana	0	0	0	0
Copenhagen	Men	5-9 years	Haiti	0	0	0	0
Copenhagen	Men	5-9 years	Netherlands Antilles	0	0	0	0
Copenhagen	Men	5-9 years	Honduras	0	0	0	0
Copenhagen	Men	5-9 years	Jamaica	3	3	3	3
Copenhagen	Men	5-9 years	Martinique	0	0	0	0
Copenhagen	Men	5-9 years	Mexico	3	3	3	3
Copenhagen	Men	5-9 years	Nauru	0	0	0	0
Copenhagen	Men	5-9 years	Nicaragua	0	0	0	0
Copenhagen	Men	5-9 years	Panama	0	0	0	0
Copenhagen	Men	5-9 years	Paraguay	1	1	1	1
Copenhagen	Men	5-9 years	Peru	2	3	3	3
Copenhagen	Men	5-9 years	Puerto Rico	0	0	0	0
Copenhagen	Men	5-9 years	Saint Kitts and Nevis	0	0	0	0
Copenhagen	Men	5-9 years	Saint Lucia	0	0	0	0
Copenhagen	Men	5-9 years	Saint Vincent and the Grenadines	0	0	0	0
Copenhagen	Men	5-9 years	Suriname	0	0	0	0
Copenhagen	Men	5-9 years	Trinidad and Tobago	1	1	1	1
Copenhagen	Men	5-9 years	Uruguay	2	2	2	2
Copenhagen	Men	5-9 years	Venezuela	0	0	0	0
Copenhagen	Men	5-9 years	West Indies	0	0	0	0
Copenhagen	Men	5-9 years	South and central America not stated	0	0	0	0
Copenhagen	Men	5-9 years	Abu Dhabi	0	0	0	0
Copenhagen	Men	5-9 years	Afghanistan	65	65	67	64
Copenhagen	Men	5-9 years	Armenia	4	4	4	4
Copenhagen	Men	5-9 years	Azerbaijan	8	5	5	4
Copenhagen	Men	5-9 years	Bahrain	0	0	0	0
Copenhagen	Men	5-9 years	Bangladesh	10	12	15	18
Copenhagen	Men	5-9 years	Bhutan	0	0	0	0
Copenhagen	Men	5-9 years	Brunei	0	0	0	0
Copenhagen	Men	5-9 years	Cambodia	2	3	3	4
Copenhagen	Men	5-9 years	Dubai	0	0	0	0
Copenhagen	Men	5-9 years	Philippines	41	41	41	44
Copenhagen	Men	5-9 years	United Arab Emirates	5	6	4	4
Copenhagen	Men	5-9 years	Georgia	1	1	1	1
Copenhagen	Men	5-9 years	Hong Kong	0	0	0	0
Copenhagen	Men	5-9 years	India	34	36	35	33
Copenhagen	Men	5-9 years	Indochina	0	0	0	0
Copenhagen	Men	5-9 years	Indonesia	2	2	2	3
Copenhagen	Men	5-9 years	Iraq	415	406	402	413
Copenhagen	Men	5-9 years	Iran	79	77	79	77
Copenhagen	Men	5-9 years	Israel	13	11	13	10
Copenhagen	Men	5-9 years	Japan	2	1	1	2
Copenhagen	Men	5-9 years	Jordan	51	51	50	51
Copenhagen	Men	5-9 years	Kazakhstan	0	0	0	0
Copenhagen	Men	5-9 years	China	51	53	53	50
Copenhagen	Men	5-9 years	Kyrgyzstan	0	0	0	0
Copenhagen	Men	5-9 years	Kuwait	26	25	23	24
Copenhagen	Men	5-9 years	Laos	0	0	0	0
Copenhagen	Men	5-9 years	Lebanon	317	307	301	292
Copenhagen	Men	5-9 years	Macao	0	0	0	0
Copenhagen	Men	5-9 years	Malaysia	4	4	2	4
Copenhagen	Men	5-9 years	Maldives	0	0	0	0
Copenhagen	Men	5-9 years	Middle East not stated	2	2	2	2
Copenhagen	Men	5-9 years	Mongolia	0	0	0	0
Copenhagen	Men	5-9 years	Myanmar	0	0	0	0
Copenhagen	Men	5-9 years	Nepal	2	2	2	3
Copenhagen	Men	5-9 years	North Korea	2	2	2	2
Copenhagen	Men	5-9 years	Oman	0	0	0	0
Copenhagen	Men	5-9 years	Pakistan	343	335	328	325
Copenhagen	Men	5-9 years	West bank and Gaza	0	0	0	0
Copenhagen	Men	5-9 years	Qatar	0	0	0	0
Copenhagen	Men	5-9 years	Saudi Arabia	1	1	1	1
Copenhagen	Men	5-9 years	Sikkim	0	0	0	0
Copenhagen	Men	5-9 years	Singapore	1	0	0	1
Copenhagen	Men	5-9 years	Sri Lanka	14	14	14	15
Copenhagen	Men	5-9 years	South Korea	7	3	3	4
Copenhagen	Men	5-9 years	Syria	68	65	62	61
Copenhagen	Men	5-9 years	Tajikistan	0	0	0	0
Copenhagen	Men	5-9 years	Taiwan	1	1	1	1
Copenhagen	Men	5-9 years	Thailand	26	25	26	24
Copenhagen	Men	5-9 years	Trucial Oman	0	0	0	0
Copenhagen	Men	5-9 years	Turkmenistan	0	0	0	0
Copenhagen	Men	5-9 years	Uzbekistan	0	0	0	0
Copenhagen	Men	5-9 years	Vietnam	24	22	22	24
Copenhagen	Men	5-9 years	North Yemen	0	0	0	0
Copenhagen	Men	5-9 years	Yemen	4	4	3	1
Copenhagen	Men	5-9 years	Asia not stated	0	0	0	0
Copenhagen	Men	5-9 years	Australia	1	1	1	0
Copenhagen	Men	5-9 years	Cook Islands	0	0	0	0
Copenhagen	Men	5-9 years	Fiji	0	0	0	0
