citizenship	age	sex	district	2009Q4	2010Q4	2011Q4	2012Q4	2013Q4	2014Q4
Denmark	0-4 years	Men	Polling area - 6. Vest	211	224	231	243	247	235
Denmark	0-4 years	Men	Polling area - 6. Nord	247	270	288	297	289	304
Denmark	0-4 years	Men	Polling area - 6. Øst	141	137	133	135	127	133
Denmark	0-4 years	Men	Polling area - 6. Syd	295	299	313	320	304	295
Denmark	0-4 years	Men	Polling area - 7. Brønshøj	130	138	146	136	140	155
Denmark	0-4 years	Men	Polling area - 7. Nord	184	168	177	155	146	140
Denmark	0-4 years	Men	Polling area - 7. Syd	252	272	246	296	305	309
Denmark	0-4 years	Men	Polling area - 7. Øst	333	356	383	427	428	413
Denmark	0-4 years	Men	Polling area - 7. Vest	289	290	309	292	300	269
Denmark	0-4 years	Men	Polling area - 7. Nordvest	338	345	348	352	355	337
Denmark	0-4 years	Men	Polling area - 7. Katrinedal	148	161	161	176	172	153
Denmark	0-4 years	Men	Polling area - 7. Kirkebjerg	274	258	271	278	247	222
Denmark	0-4 years	Men	Polling area - 7. Vanløse	366	380	399	407	404	413
Denmark	0-4 years	Men	Polling area - 8. Valby	366	390	392	388	369	357
Denmark	0-4 years	Men	Polling area - 8. Nord	327	351	381	376	356	340
Denmark	0-4 years	Men	Polling area - 8. Syd	188	230	230	224	219	215
Denmark	0-4 years	Men	Polling area - 8. Vest	179	176	169	177	187	179
Denmark	0-4 years	Men	Polling area - 8. Sydøst	162	166	154	150	143	183
Denmark	0-4 years	Men	Polling area - 8. Midt	283	309	346	354	368	333
Denmark	0-4 years	Men	Polling area - 9. Vesterbro	344	356	375	385	403	401
Denmark	0-4 years	Men	Polling area - 9. Nord	374	402	425	410	415	401
Denmark	0-4 years	Men	Polling area - 9. Syd	255	283	314	318	318	312
Denmark	0-4 years	Men	Polling area - 9. Øst	314	328	318	321	309	310
Denmark	0-4 years	Men	Polling area - 9. Vest	274	299	309	294	293	287
Denmark	0-4 years	Men	Polling area - 9. Midt	99	106	103	92	97	83
Denmark	0-4 years	Men	Polling area - 9. Sydhavn	220	266	309	322	300	312
Denmark	0-4 years	Women	Copenhagen total	15248	15901	16431	16698	16676	16567
Denmark	0-4 years	Women	District - Indre By	1236	1242	1264	1231	1209	1226
Denmark	0-4 years	Women	District - Østerbro	2053	2148	2124	2166	2080	2034
Denmark	0-4 years	Women	District - Nørrebro	2063	2126	2224	2234	2294	2249
Denmark	0-4 years	Women	District - Vesterbro/Kongens Enghave	1781	1939	2029	2072	2079	2048
Denmark	0-4 years	Women	District - Valby	1421	1519	1584	1615	1645	1646
Denmark	0-4 years	Women	District - Vanløse	1021	1056	1076	1115	1157	1158
Denmark	0-4 years	Women	District - Brønshøj-Husum	1205	1203	1249	1260	1215	1200
Denmark	0-4 years	Women	District - Bispebjerg	1169	1196	1234	1277	1278	1296
Denmark	0-4 years	Women	District - Amager Øst	1456	1511	1556	1577	1530	1537
Denmark	0-4 years	Women	District - Amager Vest	1796	1917	2043	2107	2142	2128
Denmark	0-4 years	Women	District - Unlocated	47	44	48	44	47	45
Denmark	0-4 years	Women	Polling area - 1. Østerbro	408	466	471	478	471	445
Denmark	0-4 years	Women	Polling area - 1. Øst	221	255	249	245	249	236
Denmark	0-4 years	Women	Polling area - 1. Nord	210	197	192	196	191	194
Denmark	0-4 years	Women	Polling area - 1. Syd	482	500	484	476	438	431
Denmark	0-4 years	Women	Polling area - 1. Vest	396	406	399	420	388	406
Denmark	0-4 years	Women	Polling area - 1. Nordvest	336	324	329	351	343	322
Denmark	0-4 years	Women	Polling area - 2. Sundbyvester	346	333	365	344	351	324
Denmark	0-4 years	Women	Polling area - 2. Nord	380	425	446	467	452	458
Denmark	0-4 years	Women	Polling area - 2. Syd	259	322	355	424	418	420
Denmark	0-4 years	Women	Polling area - 2. Øst	309	293	309	298	341	346
Denmark	0-4 years	Women	Polling area - 2. Vest	502	544	568	574	580	580
Denmark	0-4 years	Women	Polling area - 3. Indre By	404	410	414	398	416	393
Denmark	0-4 years	Women	Polling area - 3. Nord	248	265	262	253	252	252
Denmark	0-4 years	Women	Polling area - 3. Syd	265	276	284	299	292	312
Denmark	0-4 years	Women	Polling area - 3. Øst	366	335	352	325	296	314
Denmark	0-4 years	Women	Polling area - 4. Sundbyøster	304	312	337	362	331	349
Denmark	0-4 years	Women	Polling area - 4. Nord	505	503	502	499	487	459
Denmark	0-4 years	Women	Polling area - 4. Syd	294	312	321	318	311	291
Denmark	0-4 years	Women	Polling area - 4. Øst	353	384	396	398	401	438
Denmark	0-4 years	Women	Polling area - 5. Nørrebro	243	258	263	261	259	263
Denmark	0-4 years	Women	Polling area - 5. Nord	293	289	296	311	333	328
Denmark	0-4 years	Women	Polling area - 5. Nørrebrohallen	378	381	404	410	422	393
Denmark	0-4 years	Women	Polling area - 5. Syd	240	249	270	254	250	249
Denmark	0-4 years	Women	Polling area - 5. Øst	263	287	285	284	280	288
Denmark	0-4 years	Women	Polling area - 5. Vest	271	286	309	304	320	321
Denmark	0-4 years	Women	Polling area - 5. Nordvest	375	376	397	410	430	407
Denmark	0-4 years	Women	Polling area - 6. Bispebjerg	334	365	373	379	369	343
Denmark	0-4 years	Women	Polling area - 6. Vest	216	206	217	211	245	246
Denmark	0-4 years	Women	Polling area - 6. Nord	229	229	213	241	252	278
Denmark	0-4 years	Women	Polling area - 6. Øst	121	118	144	152	136	132
Denmark	0-4 years	Women	Polling area - 6. Syd	269	278	287	294	276	297
Denmark	0-4 years	Women	Polling area - 7. Brønshøj	158	164	159	148	148	159
Denmark	0-4 years	Women	Polling area - 7. Nord	164	135	141	154	157	145
Denmark	0-4 years	Women	Polling area - 7. Syd	235	234	230	275	284	302
Denmark	0-4 years	Women	Polling area - 7. Øst	361	383	397	397	379	386
Denmark	0-4 years	Women	Polling area - 7. Vest	267	267	287	272	260	246
Denmark	0-4 years	Women	Polling area - 7. Nordvest	342	354	373	386	358	354
Denmark	0-4 years	Women	Polling area - 7. Katrinedal	117	134	140	151	162	156
Denmark	0-4 years	Women	Polling area - 7. Kirkebjerg	255	253	235	235	250	248
Denmark	0-4 years	Women	Polling area - 7. Vanløse	327	335	363	357	374	362
Denmark	0-4 years	Women	Polling area - 8. Valby	340	357	362	356	352	348
Denmark	0-4 years	Women	Polling area - 8. Nord	290	311	344	356	338	343
Denmark	0-4 years	Women	Polling area - 8. Syd	194	201	217	218	230	206
Denmark	0-4 years	Women	Polling area - 8. Vest	166	178	165	178	182	181
Denmark	0-4 years	Women	Polling area - 8. Sydøst	150	160	158	157	163	193
Denmark	0-4 years	Women	Polling area - 8. Midt	281	312	338	350	380	375
Denmark	0-4 years	Women	Polling area - 9. Vesterbro	331	343	367	372	387	377
Denmark	0-4 years	Women	Polling area - 9. Nord	338	355	362	377	390	394
Denmark	0-4 years	Women	Polling area - 9. Syd	263	270	287	280	280	283
Denmark	0-4 years	Women	Polling area - 9. Øst	334	349	345	347	321	299
Denmark	0-4 years	Women	Polling area - 9. Vest	248	267	291	289	296	292
Denmark	0-4 years	Women	Polling area - 9. Midt	81	83	92	99	102	98
Denmark	0-4 years	Women	Polling area - 9. Sydhavn	186	272	285	308	303	305
Denmark	5-9 years	Men	Copenhagen total	10894	11113	11448	11887	12417	12866
Denmark	5-9 years	Men	District - Indre By	919	938	976	994	978	1004
Denmark	5-9 years	Men	District - Østerbro	1469	1512	1587	1673	1725	1765
Denmark	5-9 years	Men	District - Nørrebro	1415	1384	1328	1340	1371	1426
Denmark	5-9 years	Men	District - Vesterbro/Kongens Enghave	1042	1070	1086	1185	1251	1314
Denmark	5-9 years	Men	District - Valby	1048	1081	1152	1200	1284	1383
Denmark	5-9 years	Men	District - Vanløse	862	907	950	999	1048	1076
Denmark	5-9 years	Men	District - Brønshøj-Husum	1141	1133	1149	1186	1190	1191
Denmark	5-9 years	Men	District - Bispebjerg	814	824	811	807	884	900
Denmark	5-9 years	Men	District - Amager Øst	948	963	1010	1053	1067	1128
Denmark	5-9 years	Men	District - Amager Vest	1208	1269	1356	1408	1580	1650
Denmark	5-9 years	Men	District - Unlocated	28	32	43	42	39	29
Denmark	5-9 years	Men	Polling area - 1. Østerbro	348	374	351	387	374	375
Denmark	5-9 years	Men	Polling area - 1. Øst	107	117	147	152	160	179
Denmark	5-9 years	Men	Polling area - 1. Nord	159	162	155	150	169	176
Denmark	5-9 years	Men	Polling area - 1. Syd	380	393	404	419	455	459
Denmark	5-9 years	Men	Polling area - 1. Vest	244	241	280	291	303	315
Denmark	5-9 years	Men	Polling area - 1. Nordvest	231	225	250	274	264	261
Denmark	5-9 years	Men	Polling area - 2. Sundbyvester	301	312	314	321	352	347
Denmark	5-9 years	Men	Polling area - 2. Nord	328	324	309	303	323	329
Denmark	5-9 years	Men	Polling area - 2. Syd	111	138	167	196	234	272
Denmark	5-9 years	Men	Polling area - 2. Øst	256	270	295	286	304	311
Denmark	5-9 years	Men	Polling area - 2. Vest	212	225	271	302	367	391
Denmark	5-9 years	Men	Polling area - 3. Indre By	263	280	307	304	309	275
Denmark	5-9 years	Men	Polling area - 3. Nord	208	213	209	213	217	232
Denmark	5-9 years	Men	Polling area - 3. Syd	214	215	229	246	235	251
Denmark	5-9 years	Men	Polling area - 3. Øst	262	262	274	273	256	275
Denmark	5-9 years	Men	Polling area - 4. Sundbyøster	197	203	219	227	219	228
Denmark	5-9 years	Men	Polling area - 4. Nord	255	263	280	277	283	296
Denmark	5-9 years	Men	Polling area - 4. Syd	210	216	212	209	226	229
Denmark	5-9 years	Men	Polling area - 4. Øst	286	281	299	340	339	375
Denmark	5-9 years	Men	Polling area - 5. Nørrebro	144	135	147	150	146	171
Denmark	5-9 years	Men	Polling area - 5. Nord	186	178	173	156	153	168
Denmark	5-9 years	Men	Polling area - 5. Nørrebrohallen	354	358	314	302	296	290
Denmark	5-9 years	Men	Polling area - 5. Syd	173	157	164	186	171	185
Denmark	5-9 years	Men	Polling area - 5. Øst	172	178	173	171	191	173
Denmark	5-9 years	Men	Polling area - 5. Vest	215	214	196	189	203	207
Denmark	5-9 years	Men	Polling area - 5. Nordvest	171	164	161	186	211	232
Denmark	5-9 years	Men	Polling area - 6. Bispebjerg	166	169	159	163	200	189
Denmark	5-9 years	Men	Polling area - 6. Vest	173	170	187	171	194	194
Denmark	5-9 years	Men	Polling area - 6. Nord	188	199	185	198	222	237
Denmark	5-9 years	Men	Polling area - 6. Øst	130	118	122	126	118	124
Denmark	5-9 years	Men	Polling area - 6. Syd	157	168	158	149	150	156
Denmark	5-9 years	Men	Polling area - 7. Brønshøj	129	133	134	137	136	126
Denmark	5-9 years	Men	Polling area - 7. Nord	195	172	161	160	162	151
Denmark	5-9 years	Men	Polling area - 7. Syd	201	200	217	229	233	249
Denmark	5-9 years	Men	Polling area - 7. Øst	309	329	333	343	350	361
Denmark	5-9 years	Men	Polling area - 7. Vest	228	233	249	271	253	260
Denmark	5-9 years	Men	Polling area - 7. Nordvest	345	339	343	355	367	365
Denmark	5-9 years	Men	Polling area - 7. Katrinedal	100	107	126	128	133	152
Denmark	5-9 years	Men	Polling area - 7. Kirkebjerg	240	246	258	274	283	289
Denmark	5-9 years	Men	Polling area - 7. Vanløse	256	281	278	288	321	314
Denmark	5-9 years	Men	Polling area - 8. Valby	310	312	318	329	347	370
Denmark	5-9 years	Men	Polling area - 8. Nord	170	178	191	207	232	242
Denmark	5-9 years	Men	Polling area - 8. Syd	154	153	160	176	187	192
Denmark	5-9 years	Men	Polling area - 8. Vest	146	152	156	154	156	178
Denmark	5-9 years	Men	Polling area - 8. Sydøst	125	130	140	142	137	157
Denmark	5-9 years	Men	Polling area - 8. Midt	143	156	187	192	225	244
Denmark	5-9 years	Men	Polling area - 9. Vesterbro	188	198	201	233	247	252
Denmark	5-9 years	Men	Polling area - 9. Nord	216	226	221	235	254	267
Denmark	5-9 years	Men	Polling area - 9. Syd	203	187	187	189	174	174
Denmark	5-9 years	Men	Polling area - 9. Øst	191	191	187	206	211	210
Denmark	5-9 years	Men	Polling area - 9. Vest	166	166	171	188	202	224
Denmark	5-9 years	Men	Polling area - 9. Midt	43	48	57	53	53	58
Denmark	5-9 years	Men	Polling area - 9. Sydhavn	35	54	62	81	110	129
Denmark	5-9 years	Women	Copenhagen total	10530	10709	11085	11463	11900	12279
Denmark	5-9 years	Women	District - Indre By	863	892	872	855	934	914
Denmark	5-9 years	Women	District - Østerbro	1451	1446	1497	1564	1618	1614
Denmark	5-9 years	Women	District - Nørrebro	1365	1355	1383	1374	1408	1462
Denmark	5-9 years	Women	District - Vesterbro/Kongens Enghave	997	1045	1105	1147	1191	1311
Denmark	5-9 years	Women	District - Valby	1045	1007	1067	1120	1201	1277
Denmark	5-9 years	Women	District - Vanløse	834	884	936	962	965	989
Denmark	5-9 years	Women	District - Brønshøj-Husum	1069	1087	1129	1188	1200	1215
Denmark	5-9 years	Women	District - Bispebjerg	816	828	808	816	798	796
Denmark	5-9 years	Women	District - Amager Øst	953	963	1014	1057	1109	1155
Denmark	5-9 years	Women	District - Amager Vest	1113	1172	1244	1342	1446	1510
Denmark	5-9 years	Women	District - Unlocated	24	30	30	38	30	36
Denmark	5-9 years	Women	Polling area - 1. Østerbro	296	286	318	319	338	340
Denmark	5-9 years	Women	Polling area - 1. Øst	109	117	126	137	149	155
Denmark	5-9 years	Women	Polling area - 1. Nord	150	162	145	157	176	166
Denmark	5-9 years	Women	Polling area - 1. Syd	370	385	404	431	433	394
Denmark	5-9 years	Women	Polling area - 1. Vest	256	259	254	273	273	290
Denmark	5-9 years	Women	Polling area - 1. Nordvest	270	237	250	247	249	269
Denmark	5-9 years	Women	Polling area - 2. Sundbyvester	286	287	293	313	303	309
Denmark	5-9 years	Women	Polling area - 2. Nord	282	281	278	270	288	291
Denmark	5-9 years	Women	Polling area - 2. Syd	94	119	148	200	248	267
Denmark	5-9 years	Women	Polling area - 2. Øst	240	252	264	265	255	272
Denmark	5-9 years	Women	Polling area - 2. Vest	211	233	261	294	352	371
Denmark	5-9 years	Women	Polling area - 3. Indre By	242	260	255	263	289	298
Denmark	5-9 years	Women	Polling area - 3. Nord	225	224	233	226	235	216
Denmark	5-9 years	Women	Polling area - 3. Syd	192	190	174	172	194	203
Denmark	5-9 years	Women	Polling area - 3. Øst	228	248	240	232	246	233
Denmark	5-9 years	Women	Polling area - 4. Sundbyøster	215	202	185	199	195	210
Denmark	5-9 years	Women	Polling area - 4. Nord	259	262	283	295	312	316
Denmark	5-9 years	Women	Polling area - 4. Syd	206	209	235	230	247	237
Denmark	5-9 years	Women	Polling area - 4. Øst	273	290	311	333	355	392
Denmark	5-9 years	Women	Polling area - 5. Nørrebro	167	180	171	173	185	202
Denmark	5-9 years	Women	Polling area - 5. Nord	166	160	161	154	151	160
Denmark	5-9 years	Women	Polling area - 5. Nørrebrohallen	317	301	286	277	295	297
Denmark	5-9 years	Women	Polling area - 5. Syd	211	199	206	200	189	194
Denmark	5-9 years	Women	Polling area - 5. Øst	145	153	178	182	181	191
Denmark	5-9 years	Women	Polling area - 5. Vest	173	171	183	173	175	187
Denmark	5-9 years	Women	Polling area - 5. Nordvest	186	191	198	215	232	231
Denmark	5-9 years	Women	Polling area - 6. Bispebjerg	162	177	184	179	175	165
Denmark	5-9 years	Women	Polling area - 6. Vest	178	173	172	174	185	175
Denmark	5-9 years	Women	Polling area - 6. Nord	203	218	209	222	199	211
Denmark	5-9 years	Women	Polling area - 6. Øst	104	112	103	104	110	119
Denmark	5-9 years	Women	Polling area - 6. Syd	169	148	140	137	129	126
Denmark	5-9 years	Women	Polling area - 7. Brønshøj	104	120	132	142	142	162
Denmark	5-9 years	Women	Polling area - 7. Nord	195	194	179	170	175	160
Denmark	5-9 years	Women	Polling area - 7. Syd	192	191	199	193	196	211
Denmark	5-9 years	Women	Polling area - 7. Øst	313	337	348	362	385	376
Denmark	5-9 years	Women	Polling area - 7. Vest	214	218	234	247	242	232
Denmark	5-9 years	Women	Polling area - 7. Nordvest	302	292	320	350	352	372
Denmark	5-9 years	Women	Polling area - 7. Katrinedal	95	103	104	114	115	119
Denmark	5-9 years	Women	Polling area - 7. Kirkebjerg	224	253	279	274	258	253
Denmark	5-9 years	Women	Polling area - 7. Vanløse	264	263	270	298	300	319
Denmark	5-9 years	Women	Polling area - 8. Valby	294	277	302	320	313	336
Denmark	5-9 years	Women	Polling area - 8. Nord	194	178	163	175	198	201
Denmark	5-9 years	Women	Polling area - 8. Syd	152	144	151	165	184	197
Denmark	5-9 years	Women	Polling area - 8. Vest	155	132	131	135	150	171
Denmark	5-9 years	Women	Polling area - 8. Sydøst	111	114	122	122	138	140
Denmark	5-9 years	Women	Polling area - 8. Midt	139	162	198	203	218	232
Denmark	5-9 years	Women	Polling area - 9. Vesterbro	187	199	216	221	219	225
Denmark	5-9 years	Women	Polling area - 9. Nord	226	238	230	230	237	260
Denmark	5-9 years	Women	Polling area - 9. Syd	175	170	160	171	187	205
Denmark	5-9 years	Women	Polling area - 9. Øst	175	186	196	223	223	231
Denmark	5-9 years	Women	Polling area - 9. Vest	152	162	177	178	192	203
Denmark	5-9 years	Women	Polling area - 9. Midt	41	41	45	48	42	49
Denmark	5-9 years	Women	Polling area - 9. Sydhavn	41	49	81	76	91	138
Denmark	10-14 years	Men	Copenhagen total	9310	9344	9631	9784	10060	10348
Denmark	10-14 years	Men	District - Indre By	751	784	799	850	886	915
Denmark	10-14 years	Men	District - Østerbro	1272	1287	1354	1368	1393	1440
Denmark	10-14 years	Men	District - Nørrebro	1184	1195	1218	1209	1199	1203
Denmark	10-14 years	Men	District - Vesterbro/Kongens Enghave	709	732	781	800	849	906
Denmark	10-14 years	Men	District - Valby	970	943	994	985	1024	1026
Denmark	10-14 years	Men	District - Vanløse	828	802	807	807	836	859
Denmark	10-14 years	Men	District - Brønshøj-Husum	997	995	1013	1035	1062	1104
Denmark	10-14 years	Men	District - Bispebjerg	689	702	733	741	769	791
Denmark	10-14 years	Men	District - Amager Øst	869	881	898	900	900	894
Denmark	10-14 years	Men	District - Amager Vest	1021	1008	1013	1063	1114	1179
Denmark	10-14 years	Men	District - Unlocated	20	15	21	26	28	31
Denmark	10-14 years	Men	Polling area - 1. Østerbro	277	308	322	306	314	319
Denmark	10-14 years	Men	Polling area - 1. Øst	92	82	83	91	104	109
Denmark	10-14 years	Men	Polling area - 1. Nord	167	164	162	152	145	156
Denmark	10-14 years	Men	Polling area - 1. Syd	294	299	327	349	356	377
Denmark	10-14 years	Men	Polling area - 1. Vest	231	226	241	252	258	253
Denmark	10-14 years	Men	Polling area - 1. Nordvest	211	208	219	218	216	226
Denmark	10-14 years	Men	Polling area - 2. Sundbyvester	289	272	276	281	278	287
Denmark	10-14 years	Men	Polling area - 2. Nord	288	278	278	286	278	276
Denmark	10-14 years	Men	Polling area - 2. Syd	86	87	88	109	128	150
Denmark	10-14 years	Men	Polling area - 2. Øst	243	241	233	238	249	257
Denmark	10-14 years	Men	Polling area - 2. Vest	115	130	138	149	181	209
Denmark	10-14 years	Men	Polling area - 3. Indre By	193	197	216	238	252	293
Denmark	10-14 years	Men	Polling area - 3. Nord	177	194	207	215	224	226
Denmark	10-14 years	Men	Polling area - 3. Syd	179	183	188	197	208	216
Denmark	10-14 years	Men	Polling area - 3. Øst	222	225	209	226	230	211
Denmark	10-14 years	Men	Polling area - 4. Sundbyøster	161	154	179	182	179	190
Denmark	10-14 years	Men	Polling area - 4. Nord	252	255	261	254	243	229
Denmark	10-14 years	Men	Polling area - 4. Syd	178	184	175	189	198	196
Denmark	10-14 years	Men	Polling area - 4. Øst	278	288	283	275	280	279
Denmark	10-14 years	Men	Polling area - 5. Nørrebro	115	118	115	104	116	119
Denmark	10-14 years	Men	Polling area - 5. Nord	152	153	160	154	153	131
Denmark	10-14 years	Men	Polling area - 5. Nørrebrohallen	322	327	316	314	312	327
Denmark	10-14 years	Men	Polling area - 5. Syd	195	185	174	163	174	165
Denmark	10-14 years	Men	Polling area - 5. Øst	134	126	131	130	128	151
Denmark	10-14 years	Men	Polling area - 5. Vest	150	156	183	183	171	169
Denmark	10-14 years	Men	Polling area - 5. Nordvest	116	130	139	161	145	141
Denmark	10-14 years	Men	Polling area - 6. Bispebjerg	120	125	129	139	137	142
Denmark	10-14 years	Men	Polling area - 6. Vest	146	143	145	161	175	181
Denmark	10-14 years	Men	Polling area - 6. Nord	196	188	187	190	187	186
Denmark	10-14 years	Men	Polling area - 6. Øst	106	121	129	119	130	133
Denmark	10-14 years	Men	Polling area - 6. Syd	121	125	143	132	140	149
Denmark	10-14 years	Men	Polling area - 7. Brønshøj	122	127	126	130	140	135
Denmark	10-14 years	Men	Polling area - 7. Nord	164	148	168	148	148	147
Denmark	10-14 years	Men	Polling area - 7. Syd	177	162	174	178	198	196
Denmark	10-14 years	Men	Polling area - 7. Øst	272	270	278	300	315	322
Denmark	10-14 years	Men	Polling area - 7. Vest	202	194	195	205	196	213
Denmark	10-14 years	Men	Polling area - 7. Nordvest	301	310	314	324	335	360
Denmark	10-14 years	Men	Polling area - 7. Katrinedal	87	96	94	96	97	108
Denmark	10-14 years	Men	Polling area - 7. Kirkebjerg	231	229	218	210	237	236
Denmark	10-14 years	Men	Polling area - 7. Vanløse	269	261	253	251	232	246
Denmark	10-14 years	Men	Polling area - 8. Valby	296	295	292	291	299	292
Denmark	10-14 years	Men	Polling area - 8. Nord	157	156	166	165	153	160
Denmark	10-14 years	Men	Polling area - 8. Syd	151	143	165	152	160	150
Denmark	10-14 years	Men	Polling area - 8. Vest	142	133	142	149	155	159
Denmark	10-14 years	Men	Polling area - 8. Sydøst	117	104	105	104	129	134
Denmark	10-14 years	Men	Polling area - 8. Midt	107	112	124	124	128	131
Denmark	10-14 years	Men	Polling area - 9. Vesterbro	137	135	158	142	148	168
Denmark	10-14 years	Men	Polling area - 9. Nord	143	146	153	162	161	168
Denmark	10-14 years	Men	Polling area - 9. Syd	170	173	166	162	172	171
Denmark	10-14 years	Men	Polling area - 9. Øst	86	112	130	131	151	173
Denmark	10-14 years	Men	Polling area - 9. Vest	122	124	123	146	149	150
Denmark	10-14 years	Men	Polling area - 9. Midt	23	18	22	26	33	36
Denmark	10-14 years	Men	Polling area - 9. Sydhavn	28	24	29	31	35	40
Denmark	10-14 years	Women	Copenhagen total	9190	9233	9416	9563	9723	9948
Denmark	10-14 years	Women	District - Indre By	767	781	766	814	783	816
Denmark	10-14 years	Women	District - Østerbro	1249	1274	1325	1346	1381	1410
Denmark	10-14 years	Women	District - Nørrebro	1241	1225	1217	1215	1217	1211
Denmark	10-14 years	Women	District - Vesterbro/Kongens Enghave	702	757	795	840	872	899
Denmark	10-14 years	Women	District - Valby	959	977	1009	984	976	1001
Denmark	10-14 years	Women	District - Vanløse	794	778	772	769	798	838
Denmark	10-14 years	Women	District - Brønshøj-Husum	1027	984	990	998	1030	1027
Denmark	10-14 years	Women	District - Bispebjerg	657	660	698	697	720	728
Denmark	10-14 years	Women	District - Amager Øst	798	817	839	849	875	893
Denmark	10-14 years	Women	District - Amager Vest	980	962	987	1026	1052	1108
Denmark	10-14 years	Women	District - Unlocated	16	18	18	25	19	17
Denmark	10-14 years	Women	Polling area - 1. Østerbro	308	312	304	296	285	282
Denmark	10-14 years	Women	Polling area - 1. Øst	92	97	110	104	97	106
Denmark	10-14 years	Women	Polling area - 1. Nord	126	127	144	152	150	142
Denmark	10-14 years	Women	Polling area - 1. Syd	332	332	330	342	358	369
Denmark	10-14 years	Women	Polling area - 1. Vest	187	198	213	219	235	255
Denmark	10-14 years	Women	Polling area - 1. Nordvest	204	208	224	233	256	256
Denmark	10-14 years	Women	Polling area - 2. Sundbyvester	284	282	272	283	267	266
Denmark	10-14 years	Women	Polling area - 2. Nord	255	239	255	257	248	267
Denmark	10-14 years	Women	Polling area - 2. Syd	99	104	118	121	121	132
Denmark	10-14 years	Women	Polling area - 2. Øst	229	216	206	231	241	241
Denmark	10-14 years	Women	Polling area - 2. Vest	113	121	136	134	175	202
Denmark	10-14 years	Women	Polling area - 3. Indre By	177	189	195	222	219	228
Denmark	10-14 years	Women	Polling area - 3. Nord	215	213	202	217	199	222
Denmark	10-14 years	Women	Polling area - 3. Syd	170	181	168	187	166	160
Denmark	10-14 years	Women	Polling area - 3. Øst	221	216	219	213	218	223
Denmark	10-14 years	Women	Polling area - 4. Sundbyøster	157	160	161	160	188	185
Denmark	10-14 years	Women	Polling area - 4. Nord	226	236	236	252	249	245
Denmark	10-14 years	Women	Polling area - 4. Syd	183	182	188	192	182	201
Denmark	10-14 years	Women	Polling area - 4. Øst	232	239	254	245	256	262
