,Marital status,Sex,Age,Number of people,Year,Quarter
165,Widowed,Women,90-99 years,2263,2008,2
166,Widowed,Women,100-109 years,72,2008,2
167,Widowed,Women,110 years +,0,2008,2
168,Divorced,Men,0-9 years,0,2008,2
169,Divorced,Men,10-19 years,1,2008,2
170,Divorced,Men,20-29 years,269,2008,2
171,Divorced,Men,30-39 years,3113,2008,2
172,Divorced,Men,40-49 years,5373,2008,2
173,Divorced,Men,50-59 years,5339,2008,2
174,Divorced,Men,60-69 years,5100,2008,2
175,Divorced,Men,70-79 years,1913,2008,2
176,Divorced,Men,80-89 years,467,2008,2
177,Divorced,Men,90-99 years,62,2008,2
178,Divorced,Men,100-109 years,0,2008,2
179,Divorced,Men,110 years +,0,2008,2
180,Divorced,Women,0-9 years,0,2008,2
181,Divorced,Women,10-19 years,1,2008,2
182,Divorced,Women,20-29 years,660,2008,2
183,Divorced,Women,30-39 years,3937,2008,2
184,Divorced,Women,40-49 years,5885,2008,2
185,Divorced,Women,50-59 years,6448,2008,2
186,Divorced,Women,60-69 years,6629,2008,2
187,Divorced,Women,70-79 years,3017,2008,2
188,Divorced,Women,80-89 years,1578,2008,2
189,Divorced,Women,90-99 years,362,2008,2
190,Divorced,Women,100-109 years,6,2008,2
191,Divorced,Women,110 years +,0,2008,2
192,Never married,Men,0-9 years,28689,2008,3
193,Never married,Men,10-19 years,20662,2008,3
194,Never married,Men,20-29 years,50219,2008,3
195,Never married,Men,30-39 years,35102,2008,3
196,Never married,Men,40-49 years,15071,2008,3
197,Never married,Men,50-59 years,7812,2008,3
198,Never married,Men,60-69 years,3398,2008,3
199,Never married,Men,70-79 years,998,2008,3
200,Never married,Men,80-89 years,340,2008,3
201,Never married,Men,90-99 years,27,2008,3
202,Never married,Men,100-109 years,0,2008,3
203,Never married,Men,110 years +,0,2008,3
204,Never married,Women,0-9 years,27385,2008,3
205,Never married,Women,10-19 years,20455,2008,3
206,Never married,Women,20-29 years,53471,2008,3
207,Never married,Women,30-39 years,27110,2008,3
208,Never married,Women,40-49 years,10816,2008,3
209,Never married,Women,50-59 years,5567,2008,3
210,Never married,Women,60-69 years,2515,2008,3
211,Never married,Women,70-79 years,1042,2008,3
212,Never married,Women,80-89 years,898,2008,3
213,Never married,Women,90-99 years,279,2008,3
214,Never married,Women,100-109 years,12,2008,3
215,Never married,Women,110 years +,0,2008,3
216,Married/separated,Men,0-9 years,0,2008,3
217,Married/separated,Men,10-19 years,7,2008,3
218,Married/separated,Men,20-29 years,3211,2008,3
219,Married/separated,Men,30-39 years,16569,2008,3
220,Married/separated,Men,40-49 years,15405,2008,3
221,Married/separated,Men,50-59 years,12204,2008,3
222,Married/separated,Men,60-69 years,10823,2008,3
223,Married/separated,Men,70-79 years,4588,2008,3
224,Married/separated,Men,80-89 years,1950,2008,3
225,Married/separated,Men,90-99 years,211,2008,3
226,Married/separated,Men,100-109 years,1,2008,3
227,Married/separated,Men,110 years +,0,2008,3
228,Married/separated,Women,0-9 years,0,2008,3
229,Married/separated,Women,10-19 years,32,2008,3
230,Married/separated,Women,20-29 years,5999,2008,3
231,Married/separated,Women,30-39 years,18185,2008,3
232,Married/separated,Women,40-49 years,13871,2008,3
233,Married/separated,Women,50-59 years,11750,2008,3
234,Married/separated,Women,60-69 years,8940,2008,3
235,Married/separated,Women,70-79 years,3505,2008,3
236,Married/separated,Women,80-89 years,1342,2008,3
237,Married/separated,Women,90-99 years,134,2008,3
238,Married/separated,Women,100-109 years,1,2008,3
239,Married/separated,Women,110 years +,0,2008,3
240,Widowed,Men,0-9 years,0,2008,3
241,Widowed,Men,10-19 years,0,2008,3
242,Widowed,Men,20-29 years,1,2008,3
243,Widowed,Men,30-39 years,51,2008,3
244,Widowed,Men,40-49 years,140,2008,3
245,Widowed,Men,50-59 years,352,2008,3
246,Widowed,Men,60-69 years,739,2008,3
247,Widowed,Men,70-79 years,1069,2008,3
248,Widowed,Men,80-89 years,1312,2008,3
249,Widowed,Men,90-99 years,384,2008,3
250,Widowed,Men,100-109 years,5,2008,3
251,Widowed,Men,110 years +,0,2008,3
252,Widowed,Women,0-9 years,0,2008,3
253,Widowed,Women,10-19 years,0,2008,3
254,Widowed,Women,20-29 years,17,2008,3
255,Widowed,Women,30-39 years,123,2008,3
256,Widowed,Women,40-49 years,324,2008,3
257,Widowed,Women,50-59 years,1100,2008,3
258,Widowed,Women,60-69 years,2591,2008,3
259,Widowed,Women,70-79 years,4548,2008,3
260,Widowed,Women,80-89 years,5968,2008,3
261,Widowed,Women,90-99 years,2268,2008,3
262,Widowed,Women,100-109 years,74,2008,3
263,Widowed,Women,110 years +,0,2008,3
264,Divorced,Men,0-9 years,0,2008,3
265,Divorced,Men,10-19 years,1,2008,3
266,Divorced,Men,20-29 years,253,2008,3
267,Divorced,Men,30-39 years,3065,2008,3
268,Divorced,Men,40-49 years,5373,2008,3
269,Divorced,Men,50-59 years,5292,2008,3
270,Divorced,Men,60-69 years,5076,2008,3
271,Divorced,Men,70-79 years,1924,2008,3
272,Divorced,Men,80-89 years,472,2008,3
273,Divorced,Men,90-99 years,61,2008,3
274,Divorced,Men,100-109 years,0,2008,3
275,Divorced,Men,110 years +,0,2008,3
276,Divorced,Women,0-9 years,0,2008,3
277,Divorced,Women,10-19 years,1,2008,3
278,Divorced,Women,20-29 years,644,2008,3
279,Divorced,Women,30-39 years,3906,2008,3
280,Divorced,Women,40-49 years,5908,2008,3
281,Divorced,Women,50-59 years,6373,2008,3
282,Divorced,Women,60-69 years,6677,2008,3
283,Divorced,Women,70-79 years,3047,2008,3
284,Divorced,Women,80-89 years,1583,2008,3
285,Divorced,Women,90-99 years,361,2008,3
286,Divorced,Women,100-109 years,7,2008,3
287,Divorced,Women,110 years +,0,2008,3
288,Never married,Men,0-9 years,28848,2008,4
289,Never married,Men,10-19 years,20839,2008,4
290,Never married,Men,20-29 years,51588,2008,4
291,Never married,Men,30-39 years,34818,2008,4
292,Never married,Men,40-49 years,15084,2008,4
293,Never married,Men,50-59 years,7877,2008,4
294,Never married,Men,60-69 years,3445,2008,4
295,Never married,Men,70-79 years,1007,2008,4
296,Never married,Men,80-89 years,348,2008,4
297,Never married,Men,90-99 years,27,2008,4
298,Never married,Men,100-109 years,0,2008,4
299,Never married,Men,110 years +,0,2008,4
300,Never married,Women,0-9 years,27527,2008,4
301,Never married,Women,10-19 years,20964,2008,4
302,Never married,Women,20-29 years,55071,2008,4
303,Never married,Women,30-39 years,26935,2008,4
304,Never married,Women,40-49 years,10795,2008,4
305,Never married,Women,50-59 years,5600,2008,4
306,Never married,Women,60-69 years,2552,2008,4
307,Never married,Women,70-79 years,1037,2008,4
308,Never married,Women,80-89 years,886,2008,4
309,Never married,Women,90-99 years,287,2008,4
310,Never married,Women,100-109 years,10,2008,4
311,Never married,Women,110 years +,0,2008,4
312,Married/separated,Men,0-9 years,0,2008,4
313,Married/separated,Men,10-19 years,5,2008,4
314,Married/separated,Men,20-29 years,3431,2008,4
315,Married/separated,Men,30-39 years,17103,2008,4
316,Married/separated,Men,40-49 years,15545,2008,4
317,Married/separated,Men,50-59 years,12217,2008,4
318,Married/separated,Men,60-69 years,10913,2008,4
319,Married/separated,Men,70-79 years,4595,2008,4
320,Married/separated,Men,80-89 years,1937,2008,4
321,Married/separated,Men,90-99 years,204,2008,4
322,Married/separated,Men,100-109 years,1,2008,4
323,Married/separated,Men,110 years +,0,2008,4
324,Married/separated,Women,0-9 years,0,2008,4
325,Married/separated,Women,10-19 years,36,2008,4
326,Married/separated,Women,20-29 years,6311,2008,4
327,Married/separated,Women,30-39 years,18686,2008,4
328,Married/separated,Women,40-49 years,13994,2008,4
329,Married/separated,Women,50-59 years,11769,2008,4
330,Married/separated,Women,60-69 years,9016,2008,4
331,Married/separated,Women,70-79 years,3497,2008,4
332,Married/separated,Women,80-89 years,1334,2008,4
333,Married/separated,Women,90-99 years,132,2008,4
334,Married/separated,Women,100-109 years,1,2008,4
335,Married/separated,Women,110 years +,0,2008,4
336,Widowed,Men,0-9 years,0,2008,4
337,Widowed,Men,10-19 years,0,2008,4
338,Widowed,Men,20-29 years,1,2008,4
339,Widowed,Men,30-39 years,52,2008,4
340,Widowed,Men,40-49 years,143,2008,4
341,Widowed,Men,50-59 years,338,2008,4
342,Widowed,Men,60-69 years,753,2008,4
343,Widowed,Men,70-79 years,1056,2008,4
344,Widowed,Men,80-89 years,1303,2008,4
345,Widowed,Men,90-99 years,379,2008,4
346,Widowed,Men,100-109 years,4,2008,4
347,Widowed,Men,110 years +,0,2008,4
348,Widowed,Women,0-9 years,0,2008,4
349,Widowed,Women,10-19 years,0,2008,4
350,Widowed,Women,20-29 years,15,2008,4
351,Widowed,Women,30-39 years,120,2008,4
352,Widowed,Women,40-49 years,332,2008,4
353,Widowed,Women,50-59 years,1046,2008,4
354,Widowed,Women,60-69 years,2585,2008,4
355,Widowed,Women,70-79 years,4482,2008,4
356,Widowed,Women,80-89 years,5905,2008,4
357,Widowed,Women,90-99 years,2269,2008,4
358,Widowed,Women,100-109 years,71,2008,4
359,Widowed,Women,110 years +,0,2008,4
360,Divorced,Men,0-9 years,0,2008,4
361,Divorced,Men,10-19 years,1,2008,4
362,Divorced,Men,20-29 years,253,2008,4
363,Divorced,Men,30-39 years,2984,2008,4
364,Divorced,Men,40-49 years,5358,2008,4
365,Divorced,Men,50-59 years,5275,2008,4
366,Divorced,Men,60-69 years,5056,2008,4
367,Divorced,Men,70-79 years,1953,2008,4
368,Divorced,Men,80-89 years,472,2008,4
369,Divorced,Men,90-99 years,59,2008,4
370,Divorced,Men,100-109 years,0,2008,4
371,Divorced,Men,110 years +,0,2008,4
372,Divorced,Women,0-9 years,0,2008,4
373,Divorced,Women,10-19 years,1,2008,4
374,Divorced,Women,20-29 years,633,2008,4
375,Divorced,Women,30-39 years,3873,2008,4
376,Divorced,Women,40-49 years,5913,2008,4
377,Divorced,Women,50-59 years,6330,2008,4
378,Divorced,Women,60-69 years,6687,2008,4
379,Divorced,Women,70-79 years,3058,2008,4
380,Divorced,Women,80-89 years,1560,2008,4
381,Divorced,Women,90-99 years,364,2008,4
382,Divorced,Women,100-109 years,6,2008,4
383,Divorced,Women,110 years +,0,2008,4
384,Never married,Men,0-9 years,29217,2009,1
385,Never married,Men,10-19 years,20794,2009,1
386,Never married,Men,20-29 years,51841,2009,1
387,Never married,Men,30-39 years,35108,2009,1
388,Never married,Men,40-49 years,15111,2009,1
389,Never married,Men,50-59 years,7911,2009,1
390,Never married,Men,60-69 years,3506,2009,1
391,Never married,Men,70-79 years,1012,2009,1
392,Never married,Men,80-89 years,351,2009,1
393,Never married,Men,90-99 years,24,2009,1
394,Never married,Men,100-109 years,1,2009,1
395,Never married,Men,110 years +,0,2009,1
396,Never married,Women,0-9 years,27796,2009,1
397,Never married,Women,10-19 years,20764,2009,1
398,Never married,Women,20-29 years,55244,2009,1
399,Never married,Women,30-39 years,27169,2009,1
400,Never married,Women,40-49 years,10816,2009,1
401,Never married,Women,50-59 years,5673,2009,1
402,Never married,Women,60-69 years,2582,2009,1
403,Never married,Women,70-79 years,1043,2009,1
404,Never married,Women,80-89 years,871,2009,1
405,Never married,Women,90-99 years,283,2009,1
406,Never married,Women,100-109 years,9,2009,1
407,Never married,Women,110 years +,0,2009,1
408,Married/separated,Men,0-9 years,0,2009,1
409,Married/separated,Men,10-19 years,8,2009,1
410,Married/separated,Men,20-29 years,3381,2009,1
411,Married/separated,Men,30-39 years,17172,2009,1
412,Married/separated,Men,40-49 years,15601,2009,1
413,Married/separated,Men,50-59 years,12255,2009,1
414,Married/separated,Men,60-69 years,10941,2009,1
415,Married/separated,Men,70-79 years,4626,2009,1
416,Married/separated,Men,80-89 years,1908,2009,1
417,Married/separated,Men,90-99 years,209,2009,1
418,Married/separated,Men,100-109 years,0,2009,1
419,Married/separated,Men,110 years +,0,2009,1
420,Married/separated,Women,0-9 years,0,2009,1
421,Married/separated,Women,10-19 years,32,2009,1
422,Married/separated,Women,20-29 years,6227,2009,1
423,Married/separated,Women,30-39 years,18806,2009,1
424,Married/separated,Women,40-49 years,14011,2009,1
425,Married/separated,Women,50-59 years,11802,2009,1
426,Married/separated,Women,60-69 years,9064,2009,1
427,Married/separated,Women,70-79 years,3503,2009,1
428,Married/separated,Women,80-89 years,1318,2009,1
429,Married/separated,Women,90-99 years,130,2009,1
430,Married/separated,Women,100-109 years,1,2009,1
431,Married/separated,Women,110 years +,0,2009,1
432,Widowed,Men,0-9 years,0,2009,1
433,Widowed,Men,10-19 years,0,2009,1
434,Widowed,Men,20-29 years,2,2009,1
435,Widowed,Men,30-39 years,54,2009,1
436,Widowed,Men,40-49 years,138,2009,1
437,Widowed,Men,50-59 years,340,2009,1
438,Widowed,Men,60-69 years,763,2009,1
439,Widowed,Men,70-79 years,1045,2009,1
440,Widowed,Men,80-89 years,1279,2009,1
441,Widowed,Men,90-99 years,374,2009,1
442,Widowed,Men,100-109 years,5,2009,1
443,Widowed,Men,110 years +,0,2009,1
444,Widowed,Women,0-9 years,0,2009,1
445,Widowed,Women,10-19 years,0,2009,1
446,Widowed,Women,20-29 years,18,2009,1
447,Widowed,Women,30-39 years,121,2009,1
448,Widowed,Women,40-49 years,336,2009,1
449,Widowed,Women,50-59 years,1036,2009,1
450,Widowed,Women,60-69 years,2570,2009,1
451,Widowed,Women,70-79 years,4409,2009,1
452,Widowed,Women,80-89 years,5796,2009,1
453,Widowed,Women,90-99 years,2244,2009,1
454,Widowed,Women,100-109 years,70,2009,1
455,Widowed,Women,110 years +,0,2009,1
456,Divorced,Men,0-9 years,0,2009,1
457,Divorced,Men,10-19 years,1,2009,1
458,Divorced,Men,20-29 years,244,2009,1
459,Divorced,Men,30-39 years,2953,2009,1
460,Divorced,Men,40-49 years,5429,2009,1
461,Divorced,Men,50-59 years,5223,2009,1
462,Divorced,Men,60-69 years,5079,2009,1
463,Divorced,Men,70-79 years,1961,2009,1
464,Divorced,Men,80-89 years,479,2009,1
465,Divorced,Men,90-99 years,58,2009,1
466,Divorced,Men,100-109 years,0,2009,1
467,Divorced,Men,110 years +,0,2009,1
468,Divorced,Women,0-9 years,0,2009,1
469,Divorced,Women,10-19 years,0,2009,1
470,Divorced,Women,20-29 years,617,2009,1
471,Divorced,Women,30-39 years,3859,2009,1
472,Divorced,Women,40-49 years,5962,2009,1
473,Divorced,Women,50-59 years,6307,2009,1
474,Divorced,Women,60-69 years,6691,2009,1
475,Divorced,Women,70-79 years,3074,2009,1
476,Divorced,Women,80-89 years,1545,2009,1
477,Divorced,Women,90-99 years,366,2009,1
478,Divorced,Women,100-109 years,5,2009,1
479,Divorced,Women,110 years +,0,2009,1
480,Never married,Men,0-9 years,29463,2009,2
481,Never married,Men,10-19 years,20845,2009,2
482,Never married,Men,20-29 years,52179,2009,2
483,Never married,Men,30-39 years,35465,2009,2
484,Never married,Men,40-49 years,15159,2009,2
485,Never married,Men,50-59 years,7981,2009,2
486,Never married,Men,60-69 years,3546,2009,2
487,Never married,Men,70-79 years,1023,2009,2
488,Never married,Men,80-89 years,349,2009,2
489,Never married,Men,90-99 years,27,2009,2
490,Never married,Men,100-109 years,1,2009,2
491,Never married,Men,110 years +,0,2009,2
492,Never married,Women,0-9 years,28020,2009,2
493,Never married,Women,10-19 years,20922,2009,2
494,Never married,Women,20-29 years,55751,2009,2
495,Never married,Women,30-39 years,27614,2009,2
496,Never married,Women,40-49 years,10916,2009,2
497,Never married,Women,50-59 years,5719,2009,2
498,Never married,Women,60-69 years,2614,2009,2
499,Never married,Women,70-79 years,1045,2009,2
500,Never married,Women,80-89 years,847,2009,2
501,Never married,Women,90-99 years,283,2009,2
502,Never married,Women,100-109 years,9,2009,2
503,Never married,Women,110 years +,0,2009,2
504,Married/separated,Men,0-9 years,0,2009,2
505,Married/separated,Men,10-19 years,7,2009,2
506,Married/separated,Men,20-29 years,3354,2009,2
507,Married/separated,Men,30-39 years,17067,2009,2
508,Married/separated,Men,40-49 years,15600,2009,2
509,Married/separated,Men,50-59 years,12264,2009,2
510,Married/separated,Men,60-69 years,10928,2009,2
511,Married/separated,Men,70-79 years,4640,2009,2
512,Married/separated,Men,80-89 years,1877,2009,2
513,Married/separated,Men,90-99 years,208,2009,2
514,Married/separated,Men,100-109 years,1,2009,2
515,Married/separated,Men,110 years +,0,2009,2
516,Married/separated,Women,0-9 years,0,2009,2
517,Married/separated,Women,10-19 years,38,2009,2
518,Married/separated,Women,20-29 years,6180,2009,2
519,Married/separated,Women,30-39 years,18730,2009,2
520,Married/separated,Women,40-49 years,14030,2009,2
521,Married/separated,Women,50-59 years,11795,2009,2
522,Married/separated,Women,60-69 years,9128,2009,2
523,Married/separated,Women,70-79 years,3472,2009,2
524,Married/separated,Women,80-89 years,1293,2009,2
525,Married/separated,Women,90-99 years,123,2009,2
526,Married/separated,Women,100-109 years,1,2009,2
527,Married/separated,Women,110 years +,0,2009,2
528,Widowed,Men,0-9 years,0,2009,2
529,Widowed,Men,10-19 years,0,2009,2
530,Widowed,Men,20-29 years,2,2009,2
531,Widowed,Men,30-39 years,55,2009,2
532,Widowed,Men,40-49 years,135,2009,2
533,Widowed,Men,50-59 years,348,2009,2
534,Widowed,Men,60-69 years,761,2009,2
535,Widowed,Men,70-79 years,1040,2009,2
536,Widowed,Men,80-89 years,1278,2009,2
537,Widowed,Men,90-99 years,367,2009,2
538,Widowed,Men,100-109 years,8,2009,2
539,Widowed,Men,110 years +,0,2009,2
540,Widowed,Women,0-9 years,0,2009,2
541,Widowed,Women,10-19 years,0,2009,2
542,Widowed,Women,20-29 years,19,2009,2
543,Widowed,Women,30-39 years,118,2009,2
544,Widowed,Women,40-49 years,338,2009,2
545,Widowed,Women,50-59 years,1038,2009,2
546,Widowed,Women,60-69 years,2564,2009,2
547,Widowed,Women,70-79 years,4343,2009,2
548,Widowed,Women,80-89 years,5686,2009,2
549,Widowed,Women,90-99 years,2204,2009,2
550,Widowed,Women,100-109 years,67,2009,2
551,Widowed,Women,110 years +,0,2009,2
552,Divorced,Men,0-9 years,0,2009,2
553,Divorced,Men,10-19 years,0,2009,2
554,Divorced,Men,20-29 years,223,2009,2
555,Divorced,Men,30-39 years,2904,2009,2
556,Divorced,Men,40-49 years,5436,2009,2
557,Divorced,Men,50-59 years,5193,2009,2
558,Divorced,Men,60-69 years,5094,2009,2
559,Divorced,Men,70-79 years,1958,2009,2
560,Divorced,Men,80-89 years,487,2009,2
561,Divorced,Men,90-99 years,60,2009,2
562,Divorced,Men,100-109 years,0,2009,2
563,Divorced,Men,110 years +,0,2009,2
564,Divorced,Women,0-9 years,0,2009,2
565,Divorced,Women,10-19 years,1,2009,2
566,Divorced,Women,20-29 years,598,2009,2
567,Divorced,Women,30-39 years,3861,2009,2
568,Divorced,Women,40-49 years,5978,2009,2
569,Divorced,Women,50-59 years,6262,2009,2
570,Divorced,Women,60-69 years,6726,2009,2
571,Divorced,Women,70-79 years,3102,2009,2
572,Divorced,Women,80-89 years,1524,2009,2
573,Divorced,Women,90-99 years,361,2009,2
574,Divorced,Women,100-109 years,6,2009,2
575,Divorced,Women,110 years +,0,2009,2
576,Never married,Men,0-9 years,29688,2009,3
577,Never married,Men,10-19 years,20870,2009,3
578,Never married,Men,20-29 years,51707,2009,3
579,Never married,Men,30-39 years,35616,2009,3
580,Never married,Men,40-49 years,15300,2009,3
581,Never married,Men,50-59 years,8022,2009,3
582,Never married,Men,60-69 years,3595,2009,3
583,Never married,Men,70-79 years,1057,2009,3
584,Never married,Men,80-89 years,356,2009,3
585,Never married,Men,90-99 years,28,2009,3
586,Never married,Men,100-109 years,2,2009,3
587,Never married,Men,110 years +,0,2009,3
588,Never married,Women,0-9 years,28290,2009,3
589,Never married,Women,10-19 years,20883,2009,3
590,Never married,Women,20-29 years,55060,2009,3
591,Never married,Women,30-39 years,27860,2009,3
592,Never married,Women,40-49 years,10952,2009,3
593,Never married,Women,50-59 years,5800,2009,3
594,Never married,Women,60-69 years,2655,2009,3
595,Never married,Women,70-79 years,1050,2009,3
