marital status	age	sex	district	1974Q1	1975Q1
Never married	0-9 years	Women	Polling area - 7. Vest	336	320
Never married	0-9 years	Women	Polling area - 7. Nordvest	599	583
Never married	0-9 years	Women	Polling area - 7. Katrinedal	163	157
Never married	0-9 years	Women	Polling area - 7. Kirkebjerg	361	366
Never married	0-9 years	Women	Polling area - 7. Vanløse	605	552
Never married	0-9 years	Women	Polling area - 8. Valby	541	512
Never married	0-9 years	Women	Polling area - 8. Nord	492	453
Never married	0-9 years	Women	Polling area - 8. Syd	265	259
Never married	0-9 years	Women	Polling area - 8. Vest	548	502
Never married	0-9 years	Women	Polling area - 8. Sydøst	649	567
Never married	0-9 years	Women	Polling area - 8. Midt	302	303
Never married	0-9 years	Women	Polling area - 9. Vesterbro	594	537
Never married	0-9 years	Women	Polling area - 9. Nord	747	694
Never married	0-9 years	Women	Polling area - 9. Syd	529	511
Never married	0-9 years	Women	Polling area - 9. Øst	539	519
Never married	0-9 years	Women	Polling area - 9. Vest	407	398
Never married	0-9 years	Women	Polling area - 9. Midt	158	156
Never married	0-9 years	Women	Polling area - 9. Sydhavn	116	111
Never married	10-19 years	Men	Copenhagen total	28570	27680
Never married	10-19 years	Men	District - Indre By	2496	2455
Never married	10-19 years	Men	District - Østerbro	3255	3146
Never married	10-19 years	Men	District - Nørrebro	3618	3541
Never married	10-19 years	Men	District - Vesterbro/Kongens Enghave	3027	2938
Never married	10-19 years	Men	District - Valby	3009	2866
Never married	10-19 years	Men	District - Vanløse	1912	1834
Never married	10-19 years	Men	District - Brønshøj-Husum	3284	3125
Never married	10-19 years	Men	District - Bispebjerg	2409	2308
Never married	10-19 years	Men	District - Amager Øst	2524	2446
Never married	10-19 years	Men	District - Amager Vest	3036	3021
Never married	10-19 years	Men	Polling area - 1. Østerbro	597	610
Never married	10-19 years	Men	Polling area - 1. Øst	347	347
Never married	10-19 years	Men	Polling area - 1. Nord	382	350
Never married	10-19 years	Men	Polling area - 1. Syd	887	810
Never married	10-19 years	Men	Polling area - 1. Vest	430	432
Never married	10-19 years	Men	Polling area - 1. Nordvest	612	597
Never married	10-19 years	Men	Polling area - 2. Sundbyvester	884	872
Never married	10-19 years	Men	Polling area - 2. Nord	787	799
Never married	10-19 years	Men	Polling area - 2. Syd	193	152
Never married	10-19 years	Men	Polling area - 2. Øst	815	837
Never married	10-19 years	Men	Polling area - 2. Vest	357	361
Never married	10-19 years	Men	Polling area - 3. Indre By	704	693
Never married	10-19 years	Men	Polling area - 3. Nord	492	489
Never married	10-19 years	Men	Polling area - 3. Syd	386	362
Never married	10-19 years	Men	Polling area - 3. Øst	914	911
Never married	10-19 years	Men	Polling area - 4. Sundbyøster	591	565
Never married	10-19 years	Men	Polling area - 4. Nord	778	758
Never married	10-19 years	Men	Polling area - 4. Syd	555	533
Never married	10-19 years	Men	Polling area - 4. Øst	600	590
Never married	10-19 years	Men	Polling area - 5. Nørrebro	414	437
Never married	10-19 years	Men	Polling area - 5. Nord	410	401
Never married	10-19 years	Men	Polling area - 5. Nørrebrohallen	490	485
Never married	10-19 years	Men	Polling area - 5. Syd	509	454
Never married	10-19 years	Men	Polling area - 5. Øst	509	500
Never married	10-19 years	Men	Polling area - 5. Vest	528	494
Never married	10-19 years	Men	Polling area - 5. Nordvest	758	770
Never married	10-19 years	Men	Polling area - 6. Bispebjerg	549	534
Never married	10-19 years	Men	Polling area - 6. Vest	387	363
Never married	10-19 years	Men	Polling area - 6. Nord	612	585
Never married	10-19 years	Men	Polling area - 6. Øst	298	281
Never married	10-19 years	Men	Polling area - 6. Syd	563	545
Never married	10-19 years	Men	Polling area - 7. Brønshøj	372	353
Never married	10-19 years	Men	Polling area - 7. Nord	790	764
Never married	10-19 years	Men	Polling area - 7. Syd	478	453
Never married	10-19 years	Men	Polling area - 7. Øst	676	637
Never married	10-19 years	Men	Polling area - 7. Vest	586	556
Never married	10-19 years	Men	Polling area - 7. Nordvest	1091	1034
Never married	10-19 years	Men	Polling area - 7. Katrinedal	224	219
Never married	10-19 years	Men	Polling area - 7. Kirkebjerg	369	353
Never married	10-19 years	Men	Polling area - 7. Vanløse	610	590
Never married	10-19 years	Men	Polling area - 8. Valby	472	459
Never married	10-19 years	Men	Polling area - 8. Nord	423	403
Never married	10-19 years	Men	Polling area - 8. Syd	658	577
Never married	10-19 years	Men	Polling area - 8. Vest	607	607
Never married	10-19 years	Men	Polling area - 8. Sydøst	547	515
Never married	10-19 years	Men	Polling area - 8. Midt	302	305
Never married	10-19 years	Men	Polling area - 9. Vesterbro	564	560
Never married	10-19 years	Men	Polling area - 9. Nord	614	574
Never married	10-19 years	Men	Polling area - 9. Syd	670	622
Never married	10-19 years	Men	Polling area - 9. Øst	509	521
Never married	10-19 years	Men	Polling area - 9. Vest	401	389
Never married	10-19 years	Men	Polling area - 9. Midt	191	180
Never married	10-19 years	Men	Polling area - 9. Sydhavn	78	92
Never married	10-19 years	Women	Copenhagen total	27845	27008
Never married	10-19 years	Women	District - Indre By	2376	2356
Never married	10-19 years	Women	District - Østerbro	3303	3182
Never married	10-19 years	Women	District - Nørrebro	3755	3663
Never married	10-19 years	Women	District - Vesterbro/Kongens Enghave	2900	2830
Never married	10-19 years	Women	District - Valby	2952	2825
Never married	10-19 years	Women	District - Vanløse	1919	1860
Never married	10-19 years	Women	District - Brønshøj-Husum	2940	2831
Never married	10-19 years	Women	District - Bispebjerg	2326	2184
Never married	10-19 years	Women	District - Amager Øst	2490	2415
Never married	10-19 years	Women	District - Amager Vest	2884	2862
Never married	10-19 years	Women	Polling area - 1. Østerbro	591	596
Never married	10-19 years	Women	Polling area - 1. Øst	379	369
Never married	10-19 years	Women	Polling area - 1. Nord	396	386
Never married	10-19 years	Women	Polling area - 1. Syd	903	828
Never married	10-19 years	Women	Polling area - 1. Vest	455	442
Never married	10-19 years	Women	Polling area - 1. Nordvest	579	561
Never married	10-19 years	Women	Polling area - 2. Sundbyvester	862	852
Never married	10-19 years	Women	Polling area - 2. Nord	742	756
Never married	10-19 years	Women	Polling area - 2. Syd	126	118
Never married	10-19 years	Women	Polling area - 2. Øst	782	792
Never married	10-19 years	Women	Polling area - 2. Vest	372	344
Never married	10-19 years	Women	Polling area - 3. Indre By	726	703
Never married	10-19 years	Women	Polling area - 3. Nord	450	451
Never married	10-19 years	Women	Polling area - 3. Syd	342	334
Never married	10-19 years	Women	Polling area - 3. Øst	858	868
Never married	10-19 years	Women	Polling area - 4. Sundbyøster	565	534
Never married	10-19 years	Women	Polling area - 4. Nord	835	822
Never married	10-19 years	Women	Polling area - 4. Syd	505	497
Never married	10-19 years	Women	Polling area - 4. Øst	585	562
Never married	10-19 years	Women	Polling area - 5. Nørrebro	387	390
Never married	10-19 years	Women	Polling area - 5. Nord	487	458
Never married	10-19 years	Women	Polling area - 5. Nørrebrohallen	481	479
Never married	10-19 years	Women	Polling area - 5. Syd	542	528
Never married	10-19 years	Women	Polling area - 5. Øst	530	524
Never married	10-19 years	Women	Polling area - 5. Vest	539	516
Never married	10-19 years	Women	Polling area - 5. Nordvest	789	768
Never married	10-19 years	Women	Polling area - 6. Bispebjerg	565	528
Never married	10-19 years	Women	Polling area - 6. Vest	374	345
Never married	10-19 years	Women	Polling area - 6. Nord	573	538
Never married	10-19 years	Women	Polling area - 6. Øst	272	240
Never married	10-19 years	Women	Polling area - 6. Syd	542	533
Never married	10-19 years	Women	Polling area - 7. Brønshøj	317	311
Never married	10-19 years	Women	Polling area - 7. Nord	694	701
Never married	10-19 years	Women	Polling area - 7. Syd	453	452
Never married	10-19 years	Women	Polling area - 7. Øst	701	677
Never married	10-19 years	Women	Polling area - 7. Vest	530	511
Never married	10-19 years	Women	Polling area - 7. Nordvest	917	848
Never married	10-19 years	Women	Polling area - 7. Katrinedal	218	192
Never married	10-19 years	Women	Polling area - 7. Kirkebjerg	386	378
Never married	10-19 years	Women	Polling area - 7. Vanløse	643	621
Never married	10-19 years	Women	Polling area - 8. Valby	553	496
Never married	10-19 years	Women	Polling area - 8. Nord	415	394
Never married	10-19 years	Women	Polling area - 8. Syd	604	559
Never married	10-19 years	Women	Polling area - 8. Vest	630	628
Never married	10-19 years	Women	Polling area - 8. Sydøst	467	474
Never married	10-19 years	Women	Polling area - 8. Midt	283	274
Never married	10-19 years	Women	Polling area - 9. Vesterbro	529	528
Never married	10-19 years	Women	Polling area - 9. Nord	590	571
Never married	10-19 years	Women	Polling area - 9. Syd	637	635
Never married	10-19 years	Women	Polling area - 9. Øst	518	463
Never married	10-19 years	Women	Polling area - 9. Vest	403	407
Never married	10-19 years	Women	Polling area - 9. Midt	126	126
Never married	10-19 years	Women	Polling area - 9. Sydhavn	97	100
Never married	20-29 years	Men	Copenhagen total	34245	34789
Never married	20-29 years	Men	District - Indre By	4752	4828
Never married	20-29 years	Men	District - Østerbro	4720	4740
Never married	20-29 years	Men	District - Nørrebro	5622	6028
Never married	20-29 years	Men	District - Vesterbro/Kongens Enghave	4034	4091
Never married	20-29 years	Men	District - Valby	2256	2215
Never married	20-29 years	Men	District - Vanløse	1937	1896
Never married	20-29 years	Men	District - Brønshøj-Husum	2131	2005
Never married	20-29 years	Men	District - Bispebjerg	2138	2107
Never married	20-29 years	Men	District - Amager Øst	3018	3251
Never married	20-29 years	Men	District - Amager Vest	3637	3627
Never married	20-29 years	Men	Polling area - 1. Østerbro	976	1022
Never married	20-29 years	Men	Polling area - 1. Øst	415	453
Never married	20-29 years	Men	Polling area - 1. Nord	452	440
Never married	20-29 years	Men	Polling area - 1. Syd	1485	1388
Never married	20-29 years	Men	Polling area - 1. Vest	590	637
Never married	20-29 years	Men	Polling area - 1. Nordvest	802	800
Never married	20-29 years	Men	Polling area - 2. Sundbyvester	603	585
Never married	20-29 years	Men	Polling area - 2. Nord	954	1008
Never married	20-29 years	Men	Polling area - 2. Syd	708	597
Never married	20-29 years	Men	Polling area - 2. Øst	951	971
Never married	20-29 years	Men	Polling area - 2. Vest	421	466
Never married	20-29 years	Men	Polling area - 3. Indre By	1557	1564
Never married	20-29 years	Men	Polling area - 3. Nord	714	708
Never married	20-29 years	Men	Polling area - 3. Syd	995	1070
Never married	20-29 years	Men	Polling area - 3. Øst	1486	1487
Never married	20-29 years	Men	Polling area - 4. Sundbyøster	635	664
Never married	20-29 years	Men	Polling area - 4. Nord	1209	1406
Never married	20-29 years	Men	Polling area - 4. Syd	574	576
Never married	20-29 years	Men	Polling area - 4. Øst	600	605
Never married	20-29 years	Men	Polling area - 5. Nørrebro	592	629
Never married	20-29 years	Men	Polling area - 5. Nord	1195	1271
Never married	20-29 years	Men	Polling area - 5. Nørrebrohallen	450	468
Never married	20-29 years	Men	Polling area - 5. Syd	1033	1130
Never married	20-29 years	Men	Polling area - 5. Øst	797	847
Never married	20-29 years	Men	Polling area - 5. Vest	725	774
Never married	20-29 years	Men	Polling area - 5. Nordvest	830	909
Never married	20-29 years	Men	Polling area - 6. Bispebjerg	625	627
Never married	20-29 years	Men	Polling area - 6. Vest	254	276
Never married	20-29 years	Men	Polling area - 6. Nord	558	488
Never married	20-29 years	Men	Polling area - 6. Øst	203	184
Never married	20-29 years	Men	Polling area - 6. Syd	498	532
Never married	20-29 years	Men	Polling area - 7. Brønshøj	311	286
Never married	20-29 years	Men	Polling area - 7. Nord	245	279
Never married	20-29 years	Men	Polling area - 7. Syd	467	464
Never married	20-29 years	Men	Polling area - 7. Øst	633	569
Never married	20-29 years	Men	Polling area - 7. Vest	480	445
Never married	20-29 years	Men	Polling area - 7. Nordvest	667	613
Never married	20-29 years	Men	Polling area - 7. Katrinedal	237	237
Never married	20-29 years	Men	Polling area - 7. Kirkebjerg	396	379
Never married	20-29 years	Men	Polling area - 7. Vanløse	632	629
Never married	20-29 years	Men	Polling area - 8. Valby	533	476
Never married	20-29 years	Men	Polling area - 8. Nord	410	416
Never married	20-29 years	Men	Polling area - 8. Syd	361	346
Never married	20-29 years	Men	Polling area - 8. Vest	394	386
Never married	20-29 years	Men	Polling area - 8. Sydøst	314	354
Never married	20-29 years	Men	Polling area - 8. Midt	244	237
Never married	20-29 years	Men	Polling area - 9. Vesterbro	641	682
Never married	20-29 years	Men	Polling area - 9. Nord	931	956
Never married	20-29 years	Men	Polling area - 9. Syd	562	544
Never married	20-29 years	Men	Polling area - 9. Øst	904	893
Never married	20-29 years	Men	Polling area - 9. Vest	575	593
Never married	20-29 years	Men	Polling area - 9. Midt	344	345
Never married	20-29 years	Men	Polling area - 9. Sydhavn	77	78
Never married	20-29 years	Women	Copenhagen total	23744	25073
Never married	20-29 years	Women	District - Indre By	3489	3499
Never married	20-29 years	Women	District - Østerbro	3591	3796
Never married	20-29 years	Women	District - Nørrebro	4297	4646
Never married	20-29 years	Women	District - Vesterbro/Kongens Enghave	2597	2750
Never married	20-29 years	Women	District - Valby	1368	1493
Never married	20-29 years	Women	District - Vanløse	1385	1458
Never married	20-29 years	Women	District - Brønshøj-Husum	1185	1188
Never married	20-29 years	Women	District - Bispebjerg	1451	1526
Never married	20-29 years	Women	District - Amager Øst	2122	2397
Never married	20-29 years	Women	District - Amager Vest	2259	2320
Never married	20-29 years	Women	Polling area - 1. Østerbro	780	820
Never married	20-29 years	Women	Polling area - 1. Øst	353	385
Never married	20-29 years	Women	Polling area - 1. Nord	433	415
Never married	20-29 years	Women	Polling area - 1. Syd	1003	1019
Never married	20-29 years	Women	Polling area - 1. Vest	468	556
Never married	20-29 years	Women	Polling area - 1. Nordvest	554	601
Never married	20-29 years	Women	Polling area - 2. Sundbyvester	394	394
Never married	20-29 years	Women	Polling area - 2. Nord	741	796
Never married	20-29 years	Women	Polling area - 2. Syd	233	210
Never married	20-29 years	Women	Polling area - 2. Øst	592	573
Never married	20-29 years	Women	Polling area - 2. Vest	299	347
Never married	20-29 years	Women	Polling area - 3. Indre By	1217	1225
Never married	20-29 years	Women	Polling area - 3. Nord	616	604
Never married	20-29 years	Women	Polling area - 3. Syd	639	653
Never married	20-29 years	Women	Polling area - 3. Øst	1017	1017
Never married	20-29 years	Women	Polling area - 4. Sundbyøster	460	515
Never married	20-29 years	Women	Polling area - 4. Nord	878	1058
Never married	20-29 years	Women	Polling area - 4. Syd	399	425
Never married	20-29 years	Women	Polling area - 4. Øst	385	399
Never married	20-29 years	Women	Polling area - 5. Nørrebro	484	519
Never married	20-29 years	Women	Polling area - 5. Nord	1052	1146
Never married	20-29 years	Women	Polling area - 5. Nørrebrohallen	330	380
Never married	20-29 years	Women	Polling area - 5. Syd	712	736
Never married	20-29 years	Women	Polling area - 5. Øst	612	649
Never married	20-29 years	Women	Polling area - 5. Vest	442	481
Never married	20-29 years	Women	Polling area - 5. Nordvest	665	735
Never married	20-29 years	Women	Polling area - 6. Bispebjerg	397	455
Never married	20-29 years	Women	Polling area - 6. Vest	164	160
Never married	20-29 years	Women	Polling area - 6. Nord	432	431
Never married	20-29 years	Women	Polling area - 6. Øst	130	122
Never married	20-29 years	Women	Polling area - 6. Syd	328	358
Never married	20-29 years	Women	Polling area - 7. Brønshøj	200	213
Never married	20-29 years	Women	Polling area - 7. Nord	176	202
Never married	20-29 years	Women	Polling area - 7. Syd	359	383
Never married	20-29 years	Women	Polling area - 7. Øst	368	342
Never married	20-29 years	Women	Polling area - 7. Vest	244	244
Never married	20-29 years	Women	Polling area - 7. Nordvest	334	320
Never married	20-29 years	Women	Polling area - 7. Katrinedal	187	193
Never married	20-29 years	Women	Polling area - 7. Kirkebjerg	252	265
Never married	20-29 years	Women	Polling area - 7. Vanløse	450	484
Never married	20-29 years	Women	Polling area - 8. Valby	315	363
Never married	20-29 years	Women	Polling area - 8. Nord	313	324
Never married	20-29 years	Women	Polling area - 8. Syd	184	189
Never married	20-29 years	Women	Polling area - 8. Vest	188	199
Never married	20-29 years	Women	Polling area - 8. Sydøst	178	199
Never married	20-29 years	Women	Polling area - 8. Midt	190	219
Never married	20-29 years	Women	Polling area - 9. Vesterbro	384	432
Never married	20-29 years	Women	Polling area - 9. Nord	583	650
Never married	20-29 years	Women	Polling area - 9. Syd	433	429
Never married	20-29 years	Women	Polling area - 9. Øst	544	549
Never married	20-29 years	Women	Polling area - 9. Vest	383	392
Never married	20-29 years	Women	Polling area - 9. Midt	219	235
Never married	20-29 years	Women	Polling area - 9. Sydhavn	51	63
Never married	30-39 years	Men	Copenhagen total	7907	8580
Never married	30-39 years	Men	District - Indre By	1177	1269
Never married	30-39 years	Men	District - Østerbro	996	1091
Never married	30-39 years	Men	District - Nørrebro	1295	1492
Never married	30-39 years	Men	District - Vesterbro/Kongens Enghave	1158	1212
Never married	30-39 years	Men	District - Valby	516	577
Never married	30-39 years	Men	District - Vanløse	440	468
Never married	30-39 years	Men	District - Brønshøj-Husum	356	362
Never married	30-39 years	Men	District - Bispebjerg	528	566
Never married	30-39 years	Men	District - Amager Øst	563	623
Never married	30-39 years	Men	District - Amager Vest	878	920
Never married	30-39 years	Men	Polling area - 1. Østerbro	247	272
Never married	30-39 years	Men	Polling area - 1. Øst	73	80
Never married	30-39 years	Men	Polling area - 1. Nord	87	101
Never married	30-39 years	Men	Polling area - 1. Syd	298	295
Never married	30-39 years	Men	Polling area - 1. Vest	125	156
Never married	30-39 years	Men	Polling area - 1. Nordvest	166	187
Never married	30-39 years	Men	Polling area - 2. Sundbyvester	141	158
Never married	30-39 years	Men	Polling area - 2. Nord	271	292
Never married	30-39 years	Men	Polling area - 2. Syd	233	243
Never married	30-39 years	Men	Polling area - 2. Øst	149	138
Never married	30-39 years	Men	Polling area - 2. Vest	84	89
Never married	30-39 years	Men	Polling area - 3. Indre By	371	412
Never married	30-39 years	Men	Polling area - 3. Nord	195	206
Never married	30-39 years	Men	Polling area - 3. Syd	226	256
Never married	30-39 years	Men	Polling area - 3. Øst	385	395
Never married	30-39 years	Men	Polling area - 4. Sundbyøster	102	122
Never married	30-39 years	Men	Polling area - 4. Nord	199	234
Never married	30-39 years	Men	Polling area - 4. Syd	139	145
Never married	30-39 years	Men	Polling area - 4. Øst	123	122
Never married	30-39 years	Men	Polling area - 5. Nørrebro	134	164
Never married	30-39 years	Men	Polling area - 5. Nord	162	185
Never married	30-39 years	Men	Polling area - 5. Nørrebrohallen	110	123
Never married	30-39 years	Men	Polling area - 5. Syd	312	333
Never married	30-39 years	Men	Polling area - 5. Øst	192	233
Never married	30-39 years	Men	Polling area - 5. Vest	172	197
Never married	30-39 years	Men	Polling area - 5. Nordvest	213	257
Never married	30-39 years	Men	Polling area - 6. Bispebjerg	128	139
Never married	30-39 years	Men	Polling area - 6. Vest	77	83
Never married	30-39 years	Men	Polling area - 6. Nord	111	132
Never married	30-39 years	Men	Polling area - 6. Øst	44	35
Never married	30-39 years	Men	Polling area - 6. Syd	168	177
Never married	30-39 years	Men	Polling area - 7. Brønshøj	60	64
Never married	30-39 years	Men	Polling area - 7. Nord	14	19
Never married	30-39 years	Men	Polling area - 7. Syd	104	102
Never married	30-39 years	Men	Polling area - 7. Øst	97	102
Never married	30-39 years	Men	Polling area - 7. Vest	85	85
Never married	30-39 years	Men	Polling area - 7. Nordvest	130	132
Never married	30-39 years	Men	Polling area - 7. Katrinedal	49	57
Never married	30-39 years	Men	Polling area - 7. Kirkebjerg	106	104
Never married	30-39 years	Men	Polling area - 7. Vanløse	151	165
Never married	30-39 years	Men	Polling area - 8. Valby	124	152
Never married	30-39 years	Men	Polling area - 8. Nord	103	107
Never married	30-39 years	Men	Polling area - 8. Syd	64	71
Never married	30-39 years	Men	Polling area - 8. Vest	92	95
Never married	30-39 years	Men	Polling area - 8. Sydøst	67	81
Never married	30-39 years	Men	Polling area - 8. Midt	66	71
Never married	30-39 years	Men	Polling area - 9. Vesterbro	177	185
Never married	30-39 years	Men	Polling area - 9. Nord	293	312
Never married	30-39 years	Men	Polling area - 9. Syd	132	149
Never married	30-39 years	Men	Polling area - 9. Øst	289	305
Never married	30-39 years	Men	Polling area - 9. Vest	197	178
Never married	30-39 years	Men	Polling area - 9. Midt	57	69
Never married	30-39 years	Men	Polling area - 9. Sydhavn	13	14
Never married	30-39 years	Women	Copenhagen total	4264	4588
Never married	30-39 years	Women	District - Indre By	644	706
Never married	30-39 years	Women	District - Østerbro	664	716
Never married	30-39 years	Women	District - Nørrebro	634	695
Never married	30-39 years	Women	District - Vesterbro/Kongens Enghave	450	475
Never married	30-39 years	Women	District - Valby	277	305
Never married	30-39 years	Women	District - Vanløse	295	301
Never married	30-39 years	Women	District - Brønshøj-Husum	239	259
Never married	30-39 years	Women	District - Bispebjerg	339	334
Never married	30-39 years	Women	District - Amager Øst	357	394
Never married	30-39 years	Women	District - Amager Vest	365	403
Never married	30-39 years	Women	Polling area - 1. Østerbro	140	144
Never married	30-39 years	Women	Polling area - 1. Øst	44	60
Never married	30-39 years	Women	Polling area - 1. Nord	74	67
Never married	30-39 years	Women	Polling area - 1. Syd	168	181
Never married	30-39 years	Women	Polling area - 1. Vest	111	127
Never married	30-39 years	Women	Polling area - 1. Nordvest	127	137
Never married	30-39 years	Women	Polling area - 2. Sundbyvester	108	109
Never married	30-39 years	Women	Polling area - 2. Nord	113	137
Never married	30-39 years	Women	Polling area - 2. Syd	48	48
Never married	30-39 years	Women	Polling area - 2. Øst	41	41
Never married	30-39 years	Women	Polling area - 2. Vest	55	68
