citizenship	age	sex	district	1980Q1	1981Q1	1982Q1	1983Q1	1984Q1
Denmark	0-4 years	Women	District - Brønshøj-Husum	762	700	702	676	699
Denmark	0-4 years	Women	District - Bispebjerg	553	534	491	524	520
Denmark	0-4 years	Women	District - Amager Øst	901	886	856	828	791
Denmark	0-4 years	Women	District - Amager Vest	908	833	795	856	809
Denmark	0-4 years	Women	District - Unlocated	0	0	0	0	0
Denmark	0-4 years	Women	Polling area - 1. Østerbro	199	189	188	188	193
Denmark	0-4 years	Women	Polling area - 1. Øst	129	109	101	110	110
Denmark	0-4 years	Women	Polling area - 1. Nord	148	146	142	136	145
Denmark	0-4 years	Women	Polling area - 1. Syd	250	240	240	253	261
Denmark	0-4 years	Women	Polling area - 1. Vest	241	235	242	220	195
Denmark	0-4 years	Women	Polling area - 1. Nordvest	197	213	253	236	228
Denmark	0-4 years	Women	Polling area - 2. Sundbyvester	231	191	175	171	168
Denmark	0-4 years	Women	Polling area - 2. Nord	305	281	297	336	315
Denmark	0-4 years	Women	Polling area - 2. Syd	38	34	32	71	73
Denmark	0-4 years	Women	Polling area - 2. Øst	191	212	190	180	159
Denmark	0-4 years	Women	Polling area - 2. Vest	143	115	101	98	94
Denmark	0-4 years	Women	Polling area - 3. Indre By	179	180	182	178	164
Denmark	0-4 years	Women	Polling area - 3. Nord	159	163	151	140	165
Denmark	0-4 years	Women	Polling area - 3. Syd	177	182	178	161	154
Denmark	0-4 years	Women	Polling area - 3. Øst	259	220	223	205	199
Denmark	0-4 years	Women	Polling area - 4. Sundbyøster	221	216	208	184	167
Denmark	0-4 years	Women	Polling area - 4. Nord	315	316	320	308	295
Denmark	0-4 years	Women	Polling area - 4. Syd	200	192	177	178	181
Denmark	0-4 years	Women	Polling area - 4. Øst	165	162	151	158	148
Denmark	0-4 years	Women	Polling area - 5. Nørrebro	131	134	123	127	123
Denmark	0-4 years	Women	Polling area - 5. Nord	194	197	168	176	174
Denmark	0-4 years	Women	Polling area - 5. Nørrebrohallen	197	168	148	150	144
Denmark	0-4 years	Women	Polling area - 5. Syd	146	136	142	175	189
Denmark	0-4 years	Women	Polling area - 5. Øst	124	133	131	126	125
Denmark	0-4 years	Women	Polling area - 5. Vest	159	146	163	147	140
Denmark	0-4 years	Women	Polling area - 5. Nordvest	261	244	227	231	211
Denmark	0-4 years	Women	Polling area - 6. Bispebjerg	153	128	121	127	123
Denmark	0-4 years	Women	Polling area - 6. Vest	74	71	72	74	73
Denmark	0-4 years	Women	Polling area - 6. Nord	135	133	132	119	117
Denmark	0-4 years	Women	Polling area - 6. Øst	35	49	45	75	73
Denmark	0-4 years	Women	Polling area - 6. Syd	156	153	121	129	134
Denmark	0-4 years	Women	Polling area - 7. Brønshøj	111	103	113	108	109
Denmark	0-4 years	Women	Polling area - 7. Nord	207	178	170	162	170
Denmark	0-4 years	Women	Polling area - 7. Syd	145	155	151	141	152
Denmark	0-4 years	Women	Polling area - 7. Øst	183	168	177	174	195
Denmark	0-4 years	Women	Polling area - 7. Vest	120	109	102	87	91
Denmark	0-4 years	Women	Polling area - 7. Nordvest	214	206	196	209	202
Denmark	0-4 years	Women	Polling area - 7. Katrinedal	69	71	65	55	64
Denmark	0-4 years	Women	Polling area - 7. Kirkebjerg	168	181	186	185	182
Denmark	0-4 years	Women	Polling area - 7. Vanløse	202	203	185	203	217
Denmark	0-4 years	Women	Polling area - 8. Valby	205	197	210	202	205
Denmark	0-4 years	Women	Polling area - 8. Nord	179	167	169	164	158
Denmark	0-4 years	Women	Polling area - 8. Syd	104	96	83	82	95
Denmark	0-4 years	Women	Polling area - 8. Vest	152	134	133	142	142
Denmark	0-4 years	Women	Polling area - 8. Sydøst	186	179	177	175	146
Denmark	0-4 years	Women	Polling area - 8. Midt	90	79	96	89	92
Denmark	0-4 years	Women	Polling area - 9. Vesterbro	158	144	157	149	161
Denmark	0-4 years	Women	Polling area - 9. Nord	200	201	177	168	157
Denmark	0-4 years	Women	Polling area - 9. Syd	180	186	173	154	147
Denmark	0-4 years	Women	Polling area - 9. Øst	129	123	110	105	92
Denmark	0-4 years	Women	Polling area - 9. Vest	127	113	118	103	120
Denmark	0-4 years	Women	Polling area - 9. Midt	57	61	67	64	60
Denmark	0-4 years	Women	Polling area - 9. Sydhavn	35	29	25	29	34
Denmark	5-9 years	Men	Copenhagen total	8870	8836	8483	8141	7985
Denmark	5-9 years	Men	District - Indre By	807	790	748	725	683
Denmark	5-9 years	Men	District - Østerbro	1127	1125	1121	1034	1044
Denmark	5-9 years	Men	District - Nørrebro	1147	1144	1034	1002	961
Denmark	5-9 years	Men	District - Vesterbro/Kongens Enghave	826	811	748	706	714
Denmark	5-9 years	Men	District - Valby	958	941	945	901	897
Denmark	5-9 years	Men	District - Vanløse	687	715	664	660	645
Denmark	5-9 years	Men	District - Brønshøj-Husum	956	955	935	894	893
Denmark	5-9 years	Men	District - Bispebjerg	588	567	579	536	525
Denmark	5-9 years	Men	District - Amager Øst	747	781	729	731	694
Denmark	5-9 years	Men	District - Amager Vest	1027	1007	980	952	929
Denmark	5-9 years	Men	District - Unlocated	0	0	0	0	0
Denmark	5-9 years	Men	Polling area - 1. Østerbro	216	220	222	187	196
Denmark	5-9 years	Men	Polling area - 1. Øst	100	99	86	82	78
Denmark	5-9 years	Men	Polling area - 1. Nord	117	112	103	84	95
Denmark	5-9 years	Men	Polling area - 1. Syd	286	271	258	239	235
Denmark	5-9 years	Men	Polling area - 1. Vest	173	181	203	204	212
Denmark	5-9 years	Men	Polling area - 1. Nordvest	235	242	249	238	228
Denmark	5-9 years	Men	Polling area - 2. Sundbyvester	319	260	252	244	244
Denmark	5-9 years	Men	Polling area - 2. Nord	296	301	297	264	257
Denmark	5-9 years	Men	Polling area - 2. Syd	37	36	40	61	63
Denmark	5-9 years	Men	Polling area - 2. Øst	254	301	292	284	265
Denmark	5-9 years	Men	Polling area - 2. Vest	121	109	99	99	100
Denmark	5-9 years	Men	Polling area - 3. Indre By	214	200	186	181	159
Denmark	5-9 years	Men	Polling area - 3. Nord	181	172	160	155	150
Denmark	5-9 years	Men	Polling area - 3. Syd	157	163	163	160	158
Denmark	5-9 years	Men	Polling area - 3. Øst	255	255	239	229	216
Denmark	5-9 years	Men	Polling area - 4. Sundbyøster	169	172	150	151	145
Denmark	5-9 years	Men	Polling area - 4. Nord	228	242	227	240	214
Denmark	5-9 years	Men	Polling area - 4. Syd	165	173	155	157	168
Denmark	5-9 years	Men	Polling area - 4. Øst	185	194	197	183	167
Denmark	5-9 years	Men	Polling area - 5. Nørrebro	139	144	139	133	124
Denmark	5-9 years	Men	Polling area - 5. Nord	166	169	136	136	129
Denmark	5-9 years	Men	Polling area - 5. Nørrebrohallen	177	188	178	155	160
Denmark	5-9 years	Men	Polling area - 5. Syd	118	110	114	122	117
Denmark	5-9 years	Men	Polling area - 5. Øst	156	137	124	117	90
Denmark	5-9 years	Men	Polling area - 5. Vest	156	158	143	139	137
Denmark	5-9 years	Men	Polling area - 5. Nordvest	235	238	200	200	204
Denmark	5-9 years	Men	Polling area - 6. Bispebjerg	112	113	122	111	101
Denmark	5-9 years	Men	Polling area - 6. Vest	77	74	82	83	82
Denmark	5-9 years	Men	Polling area - 6. Nord	168	162	173	156	160
Denmark	5-9 years	Men	Polling area - 6. Øst	66	71	64	68	59
Denmark	5-9 years	Men	Polling area - 6. Syd	165	147	138	118	123
Denmark	5-9 years	Men	Polling area - 7. Brønshøj	130	144	129	127	132
Denmark	5-9 years	Men	Polling area - 7. Nord	267	253	232	223	205
Denmark	5-9 years	Men	Polling area - 7. Syd	136	139	137	121	116
Denmark	5-9 years	Men	Polling area - 7. Øst	194	209	200	200	193
Denmark	5-9 years	Men	Polling area - 7. Vest	135	142	138	124	135
Denmark	5-9 years	Men	Polling area - 7. Nordvest	301	291	307	293	297
Denmark	5-9 years	Men	Polling area - 7. Katrinedal	68	72	64	72	70
Denmark	5-9 years	Men	Polling area - 7. Kirkebjerg	192	193	185	202	209
Denmark	5-9 years	Men	Polling area - 7. Vanløse	220	227	207	192	181
Denmark	5-9 years	Men	Polling area - 8. Valby	234	222	224	221	230
Denmark	5-9 years	Men	Polling area - 8. Nord	169	173	173	153	152
Denmark	5-9 years	Men	Polling area - 8. Syd	97	113	104	103	100
Denmark	5-9 years	Men	Polling area - 8. Vest	171	155	159	145	147
Denmark	5-9 years	Men	Polling area - 8. Sydøst	197	182	183	176	165
Denmark	5-9 years	Men	Polling area - 8. Midt	90	96	102	103	103
Denmark	5-9 years	Men	Polling area - 9. Vesterbro	169	158	140	136	126
Denmark	5-9 years	Men	Polling area - 9. Nord	161	156	139	126	131
Denmark	5-9 years	Men	Polling area - 9. Syd	168	175	168	167	185
Denmark	5-9 years	Men	Polling area - 9. Øst	125	115	91	74	69
Denmark	5-9 years	Men	Polling area - 9. Vest	131	134	131	129	123
Denmark	5-9 years	Men	Polling area - 9. Midt	34	38	44	37	45
Denmark	5-9 years	Men	Polling area - 9. Sydhavn	38	35	35	37	35
Denmark	5-9 years	Women	Copenhagen total	8459	8533	8326	8018	7654
Denmark	5-9 years	Women	District - Indre By	771	753	703	647	607
Denmark	5-9 years	Women	District - Østerbro	1074	1092	1075	1069	1021
Denmark	5-9 years	Women	District - Nørrebro	1131	1092	1052	967	908
Denmark	5-9 years	Women	District - Vesterbro/Kongens Enghave	836	815	745	720	677
Denmark	5-9 years	Women	District - Valby	900	901	889	867	859
Denmark	5-9 years	Women	District - Vanløse	674	717	692	685	654
Denmark	5-9 years	Women	District - Brønshøj-Husum	837	854	846	820	773
Denmark	5-9 years	Women	District - Bispebjerg	520	560	562	548	524
Denmark	5-9 years	Women	District - Amager Øst	749	764	800	769	748
Denmark	5-9 years	Women	District - Amager Vest	967	985	962	926	883
Denmark	5-9 years	Women	District - Unlocated	0	0	0	0	0
Denmark	5-9 years	Women	Polling area - 1. Østerbro	223	197	203	188	172
Denmark	5-9 years	Women	Polling area - 1. Øst	97	99	98	92	102
Denmark	5-9 years	Women	Polling area - 1. Nord	125	138	130	131	118
Denmark	5-9 years	Women	Polling area - 1. Syd	260	254	257	235	216
Denmark	5-9 years	Women	Polling area - 1. Vest	170	182	172	191	198
Denmark	5-9 years	Women	Polling area - 1. Nordvest	199	222	215	232	215
Denmark	5-9 years	Women	Polling area - 2. Sundbyvester	315	262	264	243	219
Denmark	5-9 years	Women	Polling area - 2. Nord	273	283	302	303	272
Denmark	5-9 years	Women	Polling area - 2. Syd	32	34	34	44	58
Denmark	5-9 years	Women	Polling area - 2. Øst	230	290	261	248	244
Denmark	5-9 years	Women	Polling area - 2. Vest	117	116	101	88	90
Denmark	5-9 years	Women	Polling area - 3. Indre By	209	192	176	152	157
Denmark	5-9 years	Women	Polling area - 3. Nord	175	161	143	129	122
Denmark	5-9 years	Women	Polling area - 3. Syd	135	144	148	159	141
Denmark	5-9 years	Women	Polling area - 3. Øst	252	256	236	207	187
Denmark	5-9 years	Women	Polling area - 4. Sundbyøster	178	172	182	174	173
Denmark	5-9 years	Women	Polling area - 4. Nord	209	224	243	242	229
Denmark	5-9 years	Women	Polling area - 4. Syd	190	193	197	178	164
Denmark	5-9 years	Women	Polling area - 4. Øst	172	175	178	175	182
Denmark	5-9 years	Women	Polling area - 5. Nørrebro	143	144	142	126	113
Denmark	5-9 years	Women	Polling area - 5. Nord	150	147	132	124	112
Denmark	5-9 years	Women	Polling area - 5. Nørrebrohallen	180	170	163	146	123
Denmark	5-9 years	Women	Polling area - 5. Syd	129	127	136	146	148
Denmark	5-9 years	Women	Polling area - 5. Øst	129	117	111	96	96
Denmark	5-9 years	Women	Polling area - 5. Vest	164	161	152	123	127
Denmark	5-9 years	Women	Polling area - 5. Nordvest	236	226	216	206	189
Denmark	5-9 years	Women	Polling area - 6. Bispebjerg	103	117	118	108	97
Denmark	5-9 years	Women	Polling area - 6. Vest	85	86	82	82	78
Denmark	5-9 years	Women	Polling area - 6. Nord	137	160	166	157	157
Denmark	5-9 years	Women	Polling area - 6. Øst	61	51	53	65	67
Denmark	5-9 years	Women	Polling area - 6. Syd	134	146	143	136	125
Denmark	5-9 years	Women	Polling area - 7. Brønshøj	122	141	130	132	141
Denmark	5-9 years	Women	Polling area - 7. Nord	235	233	211	207	192
Denmark	5-9 years	Women	Polling area - 7. Syd	153	160	167	169	149
Denmark	5-9 years	Women	Polling area - 7. Øst	178	182	182	177	169
Denmark	5-9 years	Women	Polling area - 7. Vest	133	132	134	134	124
Denmark	5-9 years	Women	Polling area - 7. Nordvest	260	263	277	256	231
Denmark	5-9 years	Women	Polling area - 7. Katrinedal	63	61	56	55	55
Denmark	5-9 years	Women	Polling area - 7. Kirkebjerg	177	193	190	203	193
Denmark	5-9 years	Women	Polling area - 7. Vanløse	190	206	191	172	173
Denmark	5-9 years	Women	Polling area - 8. Valby	211	209	205	219	198
Denmark	5-9 years	Women	Polling area - 8. Nord	146	146	149	137	149
Denmark	5-9 years	Women	Polling area - 8. Syd	110	111	114	115	112
Denmark	5-9 years	Women	Polling area - 8. Vest	156	159	160	152	163
Denmark	5-9 years	Women	Polling area - 8. Sydøst	185	183	182	166	167
Denmark	5-9 years	Women	Polling area - 8. Midt	92	93	79	78	70
Denmark	5-9 years	Women	Polling area - 9. Vesterbro	154	155	134	132	127
Denmark	5-9 years	Women	Polling area - 9. Nord	153	147	130	134	128
Denmark	5-9 years	Women	Polling area - 9. Syd	203	195	180	176	165
Denmark	5-9 years	Women	Polling area - 9. Øst	112	101	92	86	71
Denmark	5-9 years	Women	Polling area - 9. Vest	136	130	129	111	108
Denmark	5-9 years	Women	Polling area - 9. Midt	38	41	35	39	42
Denmark	5-9 years	Women	Polling area - 9. Sydhavn	40	46	45	42	36
Denmark	10-14 years	Men	Copenhagen total	9849	9054	8663	8395	8118
Denmark	10-14 years	Men	District - Indre By	845	797	730	727	720
Denmark	10-14 years	Men	District - Østerbro	1130	1093	1076	1068	1013
Denmark	10-14 years	Men	District - Nørrebro	1175	1024	944	899	906
Denmark	10-14 years	Men	District - Vesterbro/Kongens Enghave	931	826	773	737	688
Denmark	10-14 years	Men	District - Valby	1119	1018	967	934	857
Denmark	10-14 years	Men	District - Vanløse	731	686	683	685	693
Denmark	10-14 years	Men	District - Brønshøj-Husum	1119	1015	993	920	889
Denmark	10-14 years	Men	District - Bispebjerg	632	589	568	587	599
Denmark	10-14 years	Men	District - Amager Øst	905	859	835	770	735
Denmark	10-14 years	Men	District - Amager Vest	1262	1147	1094	1068	1018
Denmark	10-14 years	Men	District - Unlocated	0	0	0	0	0
Denmark	10-14 years	Men	Polling area - 1. Østerbro	243	238	232	229	206
Denmark	10-14 years	Men	Polling area - 1. Øst	99	91	91	82	87
Denmark	10-14 years	Men	Polling area - 1. Nord	132	117	107	115	109
Denmark	10-14 years	Men	Polling area - 1. Syd	263	249	243	240	237
Denmark	10-14 years	Men	Polling area - 1. Vest	187	188	179	186	171
Denmark	10-14 years	Men	Polling area - 1. Nordvest	206	210	224	216	203
Denmark	10-14 years	Men	Polling area - 2. Sundbyvester	417	323	292	271	248
Denmark	10-14 years	Men	Polling area - 2. Nord	342	320	326	326	296
Denmark	10-14 years	Men	Polling area - 2. Syd	43	34	37	52	62
Denmark	10-14 years	Men	Polling area - 2. Øst	320	341	318	304	302
Denmark	10-14 years	Men	Polling area - 2. Vest	140	129	121	115	110
Denmark	10-14 years	Men	Polling area - 3. Indre By	242	224	196	192	177
Denmark	10-14 years	Men	Polling area - 3. Nord	173	162	155	158	168
Denmark	10-14 years	Men	Polling area - 3. Syd	143	131	127	135	138
Denmark	10-14 years	Men	Polling area - 3. Øst	287	280	252	242	237
Denmark	10-14 years	Men	Polling area - 4. Sundbyøster	210	186	196	176	157
Denmark	10-14 years	Men	Polling area - 4. Nord	271	267	246	220	207
Denmark	10-14 years	Men	Polling area - 4. Syd	195	195	185	172	178
Denmark	10-14 years	Men	Polling area - 4. Øst	229	211	208	202	193
Denmark	10-14 years	Men	Polling area - 5. Nørrebro	145	132	113	100	115
Denmark	10-14 years	Men	Polling area - 5. Nord	140	132	136	131	121
Denmark	10-14 years	Men	Polling area - 5. Nørrebrohallen	193	155	138	130	131
Denmark	10-14 years	Men	Polling area - 5. Syd	142	127	112	105	104
Denmark	10-14 years	Men	Polling area - 5. Øst	167	128	125	114	121
Denmark	10-14 years	Men	Polling area - 5. Vest	162	150	126	125	140
Denmark	10-14 years	Men	Polling area - 5. Nordvest	226	200	194	194	174
Denmark	10-14 years	Men	Polling area - 6. Bispebjerg	134	109	101	105	111
Denmark	10-14 years	Men	Polling area - 6. Vest	90	83	72	72	73
Denmark	10-14 years	Men	Polling area - 6. Nord	176	175	171	172	171
Denmark	10-14 years	Men	Polling area - 6. Øst	66	53	59	78	83
Denmark	10-14 years	Men	Polling area - 6. Syd	166	169	165	160	161
Denmark	10-14 years	Men	Polling area - 7. Brønshøj	140	141	141	137	134
Denmark	10-14 years	Men	Polling area - 7. Nord	343	296	268	216	198
Denmark	10-14 years	Men	Polling area - 7. Syd	165	143	151	158	166
Denmark	10-14 years	Men	Polling area - 7. Øst	224	204	214	204	197
Denmark	10-14 years	Men	Polling area - 7. Vest	154	141	151	147	128
Denmark	10-14 years	Men	Polling area - 7. Nordvest	343	315	306	297	313
Denmark	10-14 years	Men	Polling area - 7. Katrinedal	69	62	63	58	56
Denmark	10-14 years	Men	Polling area - 7. Kirkebjerg	152	150	154	172	173
Denmark	10-14 years	Men	Polling area - 7. Vanløse	260	249	228	216	217
Denmark	10-14 years	Men	Polling area - 8. Valby	257	245	243	237	205
Denmark	10-14 years	Men	Polling area - 8. Nord	146	132	136	131	134
Denmark	10-14 years	Men	Polling area - 8. Syd	167	143	126	121	105
Denmark	10-14 years	Men	Polling area - 8. Vest	258	223	205	210	185
Denmark	10-14 years	Men	Polling area - 8. Sydøst	190	169	159	144	148
Denmark	10-14 years	Men	Polling area - 8. Midt	101	106	98	91	80
Denmark	10-14 years	Men	Polling area - 9. Vesterbro	172	153	144	144	130
Denmark	10-14 years	Men	Polling area - 9. Nord	174	148	149	136	114
Denmark	10-14 years	Men	Polling area - 9. Syd	210	194	173	164	152
Denmark	10-14 years	Men	Polling area - 9. Øst	132	123	107	93	89
Denmark	10-14 years	Men	Polling area - 9. Vest	176	147	141	142	134
Denmark	10-14 years	Men	Polling area - 9. Midt	36	32	30	27	29
Denmark	10-14 years	Men	Polling area - 9. Sydhavn	31	29	29	31	40
Denmark	10-14 years	Women	Copenhagen total	9589	8808	8319	7934	7809
Denmark	10-14 years	Women	District - Indre By	856	802	769	723	711
Denmark	10-14 years	Women	District - Østerbro	1134	1086	1047	965	959
Denmark	10-14 years	Women	District - Nørrebro	1188	1073	976	957	944
Denmark	10-14 years	Women	District - Vesterbro/Kongens Enghave	897	824	780	708	675
Denmark	10-14 years	Women	District - Valby	1133	1010	939	917	878
Denmark	10-14 years	Women	District - Vanløse	662	632	622	612	639
Denmark	10-14 years	Women	District - Brønshøj-Husum	1063	955	879	792	783
Denmark	10-14 years	Women	District - Bispebjerg	675	610	579	590	566
Denmark	10-14 years	Women	District - Amager Øst	825	784	736	712	721
Denmark	10-14 years	Women	District - Amager Vest	1156	1032	992	958	933
Denmark	10-14 years	Women	District - Unlocated	0	0	0	0	0
Denmark	10-14 years	Women	Polling area - 1. Østerbro	223	237	227	199	207
Denmark	10-14 years	Women	Polling area - 1. Øst	91	85	91	84	84
Denmark	10-14 years	Women	Polling area - 1. Nord	147	150	133	118	111
Denmark	10-14 years	Women	Polling area - 1. Syd	299	266	250	245	242
Denmark	10-14 years	Women	Polling area - 1. Vest	203	186	165	156	139
Denmark	10-14 years	Women	Polling area - 1. Nordvest	171	162	181	163	176
Denmark	10-14 years	Women	Polling area - 2. Sundbyvester	355	269	242	249	249
Denmark	10-14 years	Women	Polling area - 2. Nord	328	299	307	287	288
Denmark	10-14 years	Women	Polling area - 2. Syd	30	27	26	36	31
Denmark	10-14 years	Women	Polling area - 2. Øst	309	312	305	285	276
Denmark	10-14 years	Women	Polling area - 2. Vest	134	125	112	101	89
Denmark	10-14 years	Women	Polling area - 3. Indre By	221	212	219	209	191
Denmark	10-14 years	Women	Polling area - 3. Nord	194	191	176	163	163
Denmark	10-14 years	Women	Polling area - 3. Syd	139	119	118	107	123
Denmark	10-14 years	Women	Polling area - 3. Øst	302	280	256	244	234
Denmark	10-14 years	Women	Polling area - 4. Sundbyøster	196	191	173	145	143
Denmark	10-14 years	Women	Polling area - 4. Nord	214	201	201	195	217
Denmark	10-14 years	Women	Polling area - 4. Syd	201	187	174	180	184
Denmark	10-14 years	Women	Polling area - 4. Øst	214	205	188	192	177
Denmark	10-14 years	Women	Polling area - 5. Nørrebro	146	122	109	114	117
Denmark	10-14 years	Women	Polling area - 5. Nord	153	155	132	144	117
Denmark	10-14 years	Women	Polling area - 5. Nørrebrohallen	176	172	161	149	155
Denmark	10-14 years	Women	Polling area - 5. Syd	137	121	120	126	136
Denmark	10-14 years	Women	Polling area - 5. Øst	162	143	113	109	103
Denmark	10-14 years	Women	Polling area - 5. Vest	159	135	134	122	117
Denmark	10-14 years	Women	Polling area - 5. Nordvest	255	225	207	193	199
Denmark	10-14 years	Women	Polling area - 6. Bispebjerg	130	122	116	122	111
Denmark	10-14 years	Women	Polling area - 6. Vest	87	72	73	76	73
Denmark	10-14 years	Women	Polling area - 6. Nord	180	159	147	151	156
Denmark	10-14 years	Women	Polling area - 6. Øst	85	77	74	85	92
Denmark	10-14 years	Women	Polling area - 6. Syd	193	180	169	156	134
Denmark	10-14 years	Women	Polling area - 7. Brønshøj	142	138	138	125	126
Denmark	10-14 years	Women	Polling area - 7. Nord	311	272	237	194	178
Denmark	10-14 years	Women	Polling area - 7. Syd	146	139	122	129	149
Denmark	10-14 years	Women	Polling area - 7. Øst	202	193	177	162	172
Denmark	10-14 years	Women	Polling area - 7. Vest	168	151	131	118	116
Denmark	10-14 years	Women	Polling area - 7. Nordvest	323	285	277	271	273
Denmark	10-14 years	Women	Polling area - 7. Katrinedal	54	52	55	54	51
Denmark	10-14 years	Women	Polling area - 7. Kirkebjerg	158	154	159	153	161
Denmark	10-14 years	Women	Polling area - 7. Vanløse	221	203	205	198	196
Denmark	10-14 years	Women	Polling area - 8. Valby	239	229	221	220	211
Denmark	10-14 years	Women	Polling area - 8. Nord	155	139	133	143	149
Denmark	10-14 years	Women	Polling area - 8. Syd	142	124	110	101	93
